8,"SELECT TOP # u, g, r, i, z FROM star WHERE (htmid*# & #) < (# * #)"
2019-04-04 05:24:00,2
2019-04-09 03:39:00,1
2019-04-09 04:08:00,1
2019-04-09 04:09:00,1
2019-04-15 05:11:00,2
2019-04-15 05:15:00,1
