4,"SELECT p.objid, p.field, p.ra, p.dec, p.insideMask, p.flags, p.probPSF, p.PSFMag_r, p.PSFMagErr_r, p.cModelMag_r, p.cModelMagErr_r, p.flags_r, p.type_r, p.PSFfwhm_r, s.specobjid, s.z, s.elodiez, s.class as redshift_spec, s.zErr as redshift_specErr, s.zWarning, p1.ObjID as ID_match_with_Galaxy, p1.z as redshift_phot, p1.zErr as redshift_photErr into mydb.DR1#retry1 FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid JOIN Photoz AS p1 ON p1.ObjID = s.bestobjid WHERE s.class = # and p.type_r = #"
2019-07-04 05:03:00,2
2019-07-04 05:05:00,1
2019-07-04 05:06:00,1
