4,select photoprimary.objid from photoprimary inner join galaxy on galaxy.objid = photoprimary.objid inner join specobj on specobj.specobjid = photoprimary.objid where photoprimary.dec between # and # and photoprimary.ra between # and # and galaxy.g between # and # and specobj.z between -.# and .#
2019-03-04 01:10:00,2
2019-03-05 06:24:00,1
2019-03-05 07:41:00,1
