2,"SELECT TOP # p.objid, p.ra, p.dec, p.petror9#_r, p.dered_g, p.dered_r, s.z as z_spec, s.zErr, zns.p_cw as spiralclock, zns.p_acw as spiralanticlock FROM Galaxy as p JOIN ZooNoSpec AS zns ON p.objid = zns.objid JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE zns.nvote > = # AND zns.p_cs > # AND zns.p_edge = #"
2019-02-24 13:35:00,1
2019-02-24 13:36:00,1
