16,"select p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.type, p.probPSF, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.fiberMag_u, p.fiberMag_g, p.fiberMag_r, p.fiberMag_i, p.fiberMag_z, p.fiberMagErr_u, p.fiberMagErr_g, p.fiberMagErr_r, p.fiberMagErr_i, p.fiberMagErr_z, p.fiber2Mag_u, p.fiber2Mag_g, p.fiber2Mag_r, p.fiber2Mag_i, p.fiber2Mag_z, p.fiber2MagErr_u, p.fiber2MagErr_g, p.fiber2MagErr_r, p.fiber2MagErr_i, p.fiber2MagErr_z, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.expMag_u, p.expMag_g, p.expMag_r, p.expMag_i, p.expMag_z, p.expMagErr_u, p.expMagErr_g, p.expMagErr_r, p.expMagErr_i, p.expMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.cModelMag_u, p.cModelMag_g, p.cModelMag_r, p.cModelMag_i, p.cModelMag_z, p.cModelMagErr_u, p.cModelMagErr_g, p.cModelMagErr_r, p.cModelMagErr_i, p.cModelMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z, s.bestObjid, s.z, s.zErr, i.z, i.zErr, i.nnAvgZ from photoobj p, dbo.fgetNearByObjEq (#, #, #) n left join SpecObjAll s on s.bestObjid = n.objid left join Photoz i on i.objID = n.objid where p.objid = n.objid"
2019-05-24 07:31:00,1
2019-05-29 14:20:00,1
2019-05-31 10:17:00,1
2019-06-02 12:54:00,1
2019-06-02 12:59:00,1
2019-06-02 13:01:00,1
2019-06-02 13:04:00,1
2019-06-02 13:07:00,1
2019-06-18 07:39:00,1
2019-06-18 07:41:00,1
2019-06-18 07:42:00,1
2019-06-18 07:43:00,1
2019-06-18 07:44:00,1
2019-06-18 09:38:00,1
2019-06-18 16:11:00,1
2019-06-18 16:12:00,1
