50,select top # * from [SpecPhotoAll]
2019-01-04 10:03:00,1
2019-01-04 10:04:00,1
2019-01-24 11:31:00,1
2019-03-04 11:51:00,1
2019-03-05 04:37:00,1
2019-03-05 04:42:00,1
2019-03-05 10:31:00,1
2019-03-05 10:32:00,1
2019-03-12 08:10:00,2
2019-03-13 11:22:00,1
2019-03-19 10:11:00,1
2019-03-19 15:24:00,2
2019-03-30 13:33:00,2
2019-04-02 03:56:00,1
2019-04-02 04:01:00,1
2019-04-02 04:20:00,1
2019-04-03 07:19:00,1
2019-04-19 04:32:00,1
2019-04-22 03:31:00,1
2019-05-11 07:08:00,1
2019-05-17 08:04:00,1
2019-05-17 09:33:00,1
2019-06-10 12:38:00,1
2019-06-10 12:39:00,1
2019-06-20 05:07:00,1
2019-06-20 05:29:00,1
2019-06-22 13:45:00,1
2019-07-23 08:40:00,1
2019-07-23 09:21:00,1
2019-08-15 20:20:00,1
2019-08-27 17:35:00,1
2019-09-02 11:32:00,2
2019-09-02 11:33:00,1
2019-09-04 12:56:00,1
2019-09-05 04:32:00,1
2019-09-07 15:59:00,1
2019-09-07 16:13:00,2
2019-11-07 18:56:00,1
2019-11-07 19:00:00,1
2019-11-07 19:07:00,1
2019-11-18 15:50:00,1
2019-12-01 11:41:00,1
2019-12-01 11:42:00,1
2019-12-04 12:30:00,1
2019-12-18 14:23:00,1
