17,"SELECT s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM #upload u, SpecObj s WHERE u.up_plate = s.plate and u.up_mjd = s.mjd and u.up_fiber = s.fiberid"
2019-05-30 13:25:00,1
2019-07-11 22:52:00,1
2019-09-30 12:52:00,1
2019-10-07 23:12:00,1
2019-10-31 08:59:00,1
2019-11-09 14:41:00,1
2019-11-09 14:42:00,1
2019-12-04 23:59:00,1
2019-12-05 00:19:00,1
2019-12-18 20:36:00,1
2019-12-18 20:38:00,1
2019-12-18 20:43:00,1
2019-12-18 20:52:00,1
2019-12-18 22:07:00,1
2019-12-18 22:08:00,2
2019-12-30 11:50:00,1
