38,"select top # p.objid as name, p.ra, p.dec from star p, dbo.fgetNearByObjEq (#, #, #) n where p.objid = n.objid"
2019-02-15 21:08:00,1
2019-02-15 21:11:00,1
2019-02-15 21:20:00,1
2019-02-15 21:22:00,1
2019-02-15 21:25:00,1
2019-02-15 21:26:00,1
2019-02-15 21:29:00,1
2019-02-15 21:45:00,2
2019-02-15 21:51:00,1
2019-02-15 21:52:00,2
2019-03-26 08:14:00,1
2019-03-26 08:15:00,1
2019-03-26 08:22:00,1
2019-03-26 08:31:00,1
2019-03-26 08:38:00,2
2019-06-24 19:43:00,1
2019-06-25 14:35:00,1
2019-06-25 14:43:00,1
2019-06-25 14:53:00,2
2019-08-26 10:09:00,1
2019-09-23 03:05:00,1
2019-10-31 16:46:00,1
2019-11-19 21:44:00,1
2019-11-19 21:45:00,1
2019-11-19 21:49:00,1
2019-11-19 21:56:00,1
2019-11-19 21:58:00,1
2019-11-19 22:01:00,1
2019-11-19 22:21:00,2
2019-11-19 22:27:00,1
2019-11-19 22:29:00,1
2019-11-19 22:37:00,1
2019-12-12 17:42:00,1
