4,"select top # run, rerun, camcol, field, p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.z as redshift, s.specobjid, s.plate, s.mjd, s.fiberid from galaxy p, specobj s where p.objid = s.bestobjid and (p.r BETWEEN # AND #)"
2019-04-02 20:05:00,1
2019-04-04 18:34:00,1
2019-04-04 18:35:00,2
