38726,"select objID, ra, dec, raErr, decErr, psfMag_u, psfMagErr_u, psfMag_g, psfMagErr_g, psfMag_r, psfMagErr_r, psfMag_i, psfMagErr_i, psfMag_z, psfMagErr_z, flags, clean from star where ra between # and # and dec between # and # AND flags & dbo.fPhotoFlags (#) = # and clean = #"
2019-01-23 18:27:00,28
2019-01-23 18:28:00,1
2019-01-23 18:29:00,22
2019-01-23 18:30:00,41
2019-01-23 18:31:00,40
2019-01-23 18:32:00,41
2019-01-23 18:33:00,41
2019-01-23 18:34:00,38
2019-01-23 18:35:00,38
2019-01-23 18:36:00,38
2019-01-23 18:37:00,40
2019-01-23 18:38:00,41
2019-01-23 18:39:00,41
2019-01-23 18:40:00,43
2019-01-23 18:41:00,11
2019-01-23 18:42:00,7
2019-01-23 18:43:00,8
2019-01-23 18:44:00,8
2019-01-23 18:45:00,9
2019-01-23 18:46:00,9
2019-01-23 18:47:00,11
2019-01-23 18:48:00,10
2019-01-23 18:49:00,14
2019-01-23 18:50:00,15
2019-01-23 18:51:00,14
2019-01-23 18:52:00,13
2019-01-23 18:53:00,16
2019-01-23 18:54:00,14
2019-01-23 18:55:00,14
2019-01-23 18:56:00,15
2019-01-23 18:57:00,13
2019-01-23 18:58:00,14
2019-01-23 18:59:00,11
2019-01-23 19:00:00,11
2019-01-23 19:01:00,9
2019-01-23 19:02:00,10
2019-01-23 19:03:00,12
2019-01-23 19:04:00,12
2019-01-23 19:05:00,12
2019-01-23 19:06:00,14
2019-01-23 19:07:00,14
2019-01-23 19:08:00,13
2019-01-23 19:09:00,13
2019-01-23 19:10:00,14
2019-01-23 19:11:00,14
2019-01-23 19:12:00,11
2019-01-23 19:13:00,11
2019-01-23 19:14:00,11
2019-01-23 19:15:00,12
2019-01-23 19:16:00,14
2019-01-23 19:17:00,12
2019-01-23 19:18:00,14
2019-01-23 19:19:00,12
2019-01-23 19:20:00,14
2019-01-23 19:21:00,11
2019-01-23 19:22:00,10
2019-01-23 19:23:00,11
2019-01-23 19:24:00,9
2019-01-23 19:25:00,10
2019-01-23 19:26:00,10
2019-01-23 19:27:00,12
2019-01-23 19:28:00,11
2019-01-23 19:29:00,10
2019-01-23 19:30:00,11
2019-01-23 19:31:00,12
2019-01-23 19:32:00,10
2019-01-23 19:33:00,10
2019-01-23 19:34:00,9
2019-01-23 19:35:00,9
2019-01-23 19:36:00,9
2019-01-23 19:37:00,10
2019-01-23 19:38:00,10
2019-01-23 19:39:00,10
2019-01-23 19:40:00,12
2019-01-23 19:41:00,8
2019-01-23 19:42:00,9
2019-01-23 19:43:00,7
2019-01-23 19:44:00,8
2019-01-23 19:45:00,7
2019-01-23 19:46:00,8
2019-01-23 19:47:00,7
2019-01-23 19:48:00,8
2019-01-23 19:49:00,7
2019-01-23 19:50:00,7
2019-01-23 19:51:00,7
2019-01-23 19:52:00,8
2019-01-23 19:53:00,20
2019-01-23 19:54:00,37
2019-01-23 19:55:00,39
2019-01-23 19:56:00,38
2019-01-23 19:57:00,37
2019-01-23 19:58:00,35
2019-01-23 19:59:00,36
2019-01-23 20:00:00,36
2019-01-23 20:01:00,12
2019-01-23 20:02:00,25
2019-01-23 20:03:00,28
2019-01-23 20:04:00,25
2019-01-23 20:05:00,18
2019-01-23 20:06:00,15
2019-01-23 20:07:00,21
2019-01-23 20:08:00,12
2019-01-23 20:09:00,17
2019-01-23 20:10:00,12
2019-01-23 20:11:00,21
2019-01-23 20:12:00,10
2019-01-23 20:13:00,19
2019-01-23 20:14:00,19
2019-01-23 20:15:00,18
2019-01-23 20:16:00,23
2019-01-23 20:17:00,23
2019-01-23 20:18:00,28
2019-01-23 20:19:00,35
2019-01-23 20:20:00,30
2019-01-23 20:21:00,33
2019-01-23 20:22:00,31
2019-01-23 20:23:00,37
2019-01-23 20:24:00,33
2019-01-23 20:25:00,31
2019-01-23 20:26:00,26
2019-01-23 20:27:00,25
2019-01-23 20:28:00,25
2019-01-23 20:29:00,22
2019-01-23 20:30:00,27
2019-01-23 20:31:00,22
2019-01-23 20:32:00,21
2019-01-23 20:33:00,23
2019-01-23 20:34:00,23
2019-01-23 20:35:00,25
2019-01-23 20:36:00,20
2019-01-23 20:37:00,21
2019-01-23 20:38:00,22
2019-01-23 20:39:00,20
2019-01-23 20:40:00,20
2019-01-23 20:41:00,21
2019-01-23 20:42:00,22
2019-01-23 20:43:00,20
2019-01-23 20:44:00,24
2019-01-23 20:45:00,23
2019-01-23 20:46:00,29
2019-01-23 20:47:00,30
2019-01-23 20:48:00,33
2019-01-23 20:49:00,34
2019-01-23 20:50:00,35
2019-01-23 20:51:00,36
2019-01-23 20:52:00,36
2019-01-23 20:53:00,35
2019-01-23 20:54:00,38
2019-01-23 20:55:00,35
2019-01-23 20:56:00,39
2019-01-23 20:57:00,38
2019-01-23 20:58:00,36
2019-01-23 20:59:00,37
2019-01-23 21:00:00,35
2019-01-23 21:01:00,38
2019-01-23 21:02:00,35
2019-01-23 21:03:00,37
2019-01-23 21:04:00,31
2019-01-23 21:05:00,37
2019-01-23 21:06:00,38
2019-01-23 21:07:00,37
2019-01-23 21:08:00,39
2019-01-23 21:09:00,38
2019-01-23 21:10:00,33
2019-01-23 21:11:00,40
2019-01-23 21:12:00,34
2019-01-23 21:13:00,39
2019-01-23 21:14:00,27
2019-01-23 21:15:00,22
2019-01-23 21:16:00,23
2019-01-23 21:17:00,22
2019-01-23 21:18:00,12
2019-01-23 21:19:00,18
2019-01-23 21:20:00,21
2019-01-23 21:21:00,14
2019-01-23 21:22:00,13
2019-01-23 21:23:00,21
2019-01-23 21:24:00,12
2019-01-23 21:25:00,15
2019-01-23 21:26:00,22
2019-01-23 21:27:00,14
2019-01-23 21:28:00,13
2019-01-23 21:29:00,21
2019-01-23 21:30:00,11
2019-01-23 21:31:00,18
2019-01-23 21:32:00,26
2019-01-23 21:33:00,27
2019-01-23 21:34:00,30
2019-01-23 21:35:00,41
2019-01-23 21:36:00,41
2019-01-23 21:37:00,38
2019-01-23 21:38:00,42
2019-01-23 21:39:00,43
2019-01-23 21:40:00,39
2019-01-23 21:41:00,41
2019-01-23 21:42:00,42
2019-01-23 21:43:00,38
2019-01-23 21:44:00,33
2019-01-23 21:45:00,18
2019-01-23 21:46:00,9
2019-01-23 21:47:00,11
2019-01-23 21:48:00,8
2019-01-23 21:49:00,6
2019-01-23 21:50:00,7
2019-01-23 21:51:00,7
2019-01-23 21:52:00,9
2019-01-23 21:53:00,7
2019-01-23 21:54:00,7
2019-01-23 21:55:00,10
2019-01-23 21:56:00,12
2019-01-23 21:57:00,26
2019-01-23 21:58:00,35
2019-01-23 21:59:00,34
2019-01-23 22:00:00,31
2019-01-23 22:01:00,32
2019-01-23 22:02:00,30
2019-01-23 22:03:00,30
2019-01-23 22:04:00,33
2019-01-23 22:05:00,40
2019-01-23 22:06:00,36
2019-01-23 22:07:00,39
2019-01-23 22:08:00,39
2019-01-23 22:09:00,39
2019-01-23 22:10:00,33
2019-01-23 22:11:00,23
2019-01-23 22:12:00,22
2019-01-23 22:13:00,22
2019-01-23 22:14:00,19
2019-01-23 22:15:00,19
2019-01-23 22:16:00,17
2019-01-23 22:17:00,15
2019-01-23 22:18:00,16
