39,"select p.objid as name, p.ra, p.dec from photoobj p, specobj s where p.objid = s.bestobjid and (p.g BETWEEN # AND #) and (s.class = #) and s.z BETWEEN # AND #"
2019-04-10 00:45:00,1
2019-04-10 00:46:00,1
2019-04-10 00:50:00,1
2019-04-10 01:00:00,1
2019-04-10 01:05:00,1
2019-04-10 01:11:00,1
2019-04-10 01:15:00,1
2019-04-10 01:17:00,1
2019-04-12 04:17:00,1
2019-04-14 02:01:00,1
2019-04-14 02:03:00,1
2019-04-14 02:21:00,1
2019-04-14 02:27:00,1
2019-06-17 19:24:00,1
2019-06-17 19:27:00,1
2019-06-17 19:37:00,1
2019-06-17 20:14:00,1
2019-06-17 20:19:00,1
2019-06-17 20:26:00,1
2019-06-27 01:56:00,1
2019-06-27 02:00:00,2
2019-06-27 02:07:00,1
2019-06-27 02:17:00,1
2019-06-27 02:21:00,1
2019-06-27 02:26:00,1
2019-06-27 02:27:00,1
2019-07-22 15:56:00,1
2019-07-22 16:50:00,1
2019-07-22 16:51:00,1
2019-07-22 16:53:00,1
2019-08-07 02:11:00,1
2019-08-07 14:50:00,1
2019-08-07 15:08:00,1
2019-09-19 17:50:00,1
2019-09-19 17:52:00,1
2019-09-19 17:53:00,1
2019-09-19 17:54:00,1
2019-09-19 17:58:00,1
