31,"SELECT up_id, dbo.fGetNearestSpecObjIdEq (up_ra, up_dec, up_sep) as SpecobjId FROM #upload WHERE dbo.fGetNearestSpecObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM ..SpecObj as s JOIN #x AS x ON x.SpecobjID = s.SpecobjID JOIN #upload AS u ON u.up_id = x.up_id WHERE s.zWarning = # AND (s.class = #) ORDER BY x.up_id"
2019-02-01 11:25:00,1
2019-03-08 08:43:00,1
2019-03-11 16:17:00,1
2019-03-11 16:18:00,1
2019-04-13 02:22:00,1
2019-05-11 00:29:00,1
2019-05-26 09:19:00,1
2019-05-28 10:10:00,1
2019-09-09 07:31:00,1
2019-10-28 15:43:00,1
2019-10-28 15:44:00,2
2019-10-28 15:45:00,2
2019-10-28 15:46:00,2
2019-10-28 15:47:00,1
2019-10-28 15:48:00,2
2019-10-28 19:12:00,1
2019-10-29 15:11:00,1
2019-10-29 15:13:00,1
2019-10-29 15:22:00,1
2019-10-29 18:14:00,1
2019-10-29 19:25:00,1
2019-10-29 19:33:00,1
2019-10-29 19:38:00,1
2019-12-19 06:19:00,2
2019-12-19 06:56:00,2
