37,"SELECT ALL p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.objID p.expAB_u, p.expAB_g, p.expAB_r, p.expAB_i, p.expAB_z FROM PhotoObj AS p WHERE p.objID = #"
2019-11-22 08:33:00,1
2019-11-22 08:34:00,13
2019-11-22 08:35:00,3
2019-11-22 08:37:00,9
2019-11-22 08:38:00,10
2019-11-22 08:39:00,1
