2,"select s.ra, s.dec, z, zerr, zwarning, class, subclass, z_noqso into mydb.specz from mydb.speci as u Join specobjALL as s on s.specobjid = u.specobj"
2019-04-02 04:44:00,1
2019-04-02 04:45:00,1
