11,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.cam0col, p.field, s.specobjid, s.specClass, s.z, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE specClass = # AND s.z < = # AND p.ra BETWEEN # AND # AND p.dec between # and #"
2019-09-24 17:51:00,1
2019-09-24 18:01:00,2
2019-09-24 18:02:00,4
2019-09-24 18:03:00,4
