12,"SELECT U.up_id, S.* FROM #upLoad U CROSS APPLY (SELECT SpecObjid from dbo.fGetNearbySpecObjEq (U.up_ra , U.up_dec , U.up_sep) ) S SELECT TOP # s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class FROM ..SpecObj as s JOIN #x AS x ON x.SpecobjID = s.SpecobjID JOIN #upload AS u ON u.up_id = x.up_id WHERE s.z > # AND s.zWarning = # AND s.z < # ORDER BY x.up_id"
2019-01-23 13:59:00,1
2019-01-23 14:00:00,1
2019-01-23 14:01:00,2
2019-01-23 15:57:00,1
2019-01-23 15:58:00,1
2019-01-23 16:06:00,1
2019-01-23 16:09:00,1
2019-01-23 16:12:00,1
2019-01-23 16:14:00,1
2019-01-23 16:15:00,1
2019-01-23 16:16:00,1
