2,"SELECT plate, fiber, mjd, primtarget, dbo.fPrimTargetN (primtarget) from dbo.specobjall where plate = # and fiberid = # and mjd = # INTO db.onetarget"
2019-11-26 04:16:00,1
2019-11-26 04:17:00,1
