398,"SELECT sp.ra, sp.dec, sp.z as redshift, sp.cModelMag_g as g, sp.cModelMagerr_g as err_g, sp.cModelMag_i as i, sp.cModelMagerr_i as err_i, gs.h_alpha_eqw, gs.oii_#_eqw, p.aperFlux7_g, p.aperFlux7Ivar_g as var_g, p.aperFlux7_i, p.aperFlux7Ivar_i as var_i FROM GalSpecLine AS gs JOIN SpecPhoto AS sp ON sp.specobjid = gs.specobjid JOIN dbo.fGetNearbySpecObjEq (#, #, #) AS GN ON GN.specobjID = gs.specobjid JOIN Galaxy as gal ON gal.specobjId = gs.specobjid JOIN PhotoObjAll as p ON p.specObjId = gs.specobjID WHERE h_alpha_eqw between # and # and oii_#_eqw between # and # and sp.cModelMag_g-sp.cModelMag_i between # and # and sp.z between # and # and sp.cModelMag_i-#*log1# (#E+#*sp.z) < #"
2019-03-12 15:12:00,1
2019-03-12 16:52:00,1
2019-03-12 16:54:00,1
2019-03-12 16:57:00,1
2019-03-12 16:59:00,2
2019-03-12 17:02:00,1
2019-03-13 13:42:00,1
2019-03-13 13:46:00,1
2019-03-13 13:47:00,1
2019-03-13 13:50:00,1
2019-03-13 13:51:00,1
2019-03-13 13:53:00,1
2019-03-13 14:00:00,1
2019-03-13 14:06:00,1
2019-03-13 14:07:00,1
2019-03-13 14:38:00,1
2019-03-13 14:39:00,1
2019-03-13 14:40:00,1
2019-03-13 14:41:00,2
2019-03-13 14:42:00,1
2019-03-13 14:43:00,2
2019-03-14 12:14:00,1
2019-03-14 12:17:00,2
2019-03-14 12:22:00,1
2019-03-14 12:25:00,2
2019-03-15 09:34:00,2
2019-03-15 09:36:00,1
2019-03-15 09:37:00,1
2019-03-15 09:39:00,2
2019-03-17 14:04:00,1
2019-03-17 14:06:00,1
2019-03-17 14:25:00,2
2019-03-17 14:26:00,1
2019-03-17 16:06:00,1
2019-03-17 16:18:00,2
2019-03-17 16:19:00,2
2019-03-17 16:21:00,2
2019-03-17 16:28:00,1
2019-03-17 17:06:00,1
2019-03-17 17:07:00,1
2019-03-17 17:27:00,1
2019-03-17 17:31:00,1
2019-03-17 17:32:00,1
2019-03-17 18:32:00,1
2019-03-17 18:49:00,1
2019-03-17 18:50:00,1
2019-03-17 18:52:00,2
2019-03-17 18:54:00,1
2019-03-17 18:55:00,1
2019-03-17 18:56:00,1
2019-03-17 18:57:00,1
2019-03-17 19:00:00,1
2019-03-17 19:05:00,1
2019-03-17 19:14:00,1
2019-03-17 19:23:00,1
2019-03-17 19:24:00,1
2019-03-17 19:27:00,1
2019-03-17 19:29:00,1
2019-03-17 19:30:00,1
2019-03-17 19:31:00,2
2019-03-17 19:33:00,1
2019-03-17 19:34:00,2
2019-03-17 19:39:00,1
2019-03-17 19:40:00,1
2019-03-17 19:44:00,2
2019-03-17 19:50:00,1
2019-03-17 19:54:00,1
2019-03-17 19:56:00,1
2019-03-17 20:30:00,1
2019-03-17 20:35:00,2
2019-03-17 20:36:00,1
2019-03-17 20:37:00,1
2019-03-17 20:44:00,2
2019-03-17 20:45:00,1
2019-03-17 20:48:00,1
2019-03-17 20:56:00,1
2019-03-17 21:01:00,1
2019-03-17 21:02:00,2
2019-03-17 21:15:00,1
2019-03-17 21:19:00,1
2019-03-17 21:21:00,2
2019-03-17 21:26:00,1
2019-03-17 21:27:00,1
2019-03-17 21:36:00,1
2019-03-17 21:44:00,1
2019-03-17 22:02:00,1
2019-03-17 22:08:00,1
2019-03-17 22:09:00,2
