19,"select p.objid, p.ra, p.dec, s.z, s.zerr from galaxy p, specobj s where p.objid = s.bestobjid and s.z BETWEEN # AND #"
2019-07-09 14:43:00,1
2019-07-09 14:44:00,1
2019-07-09 14:45:00,1
2019-07-09 14:46:00,2
2019-07-09 14:47:00,1
2019-07-09 14:49:00,1
2019-07-10 14:29:00,1
2019-07-10 14:33:00,1
2019-07-11 15:29:00,1
2019-07-11 15:30:00,1
2019-07-11 15:41:00,1
2019-07-11 16:08:00,1
2019-07-11 16:11:00,1
2019-07-11 16:15:00,1
2019-07-11 16:21:00,1
2019-07-11 16:24:00,1
2019-07-11 16:26:00,1
2019-07-11 16:28:00,1
