27,"SELECT TOP # s.dered_g, s.dered_r, oiii_#_flux as oif, h_beta_flux as hbf, nii_#_flux as nif, h_alpha_flux as haf, oiii_#_flux_err as oif_e, h_beta_flux_err as hbf_e, nii_#_flux_err as nif_e, h_alpha_flux_err as haf_e, p.specObjID FROM galSpecLine as p JOIN PhotoObjAll as s ON p.specObjID = s.specObjID WHERE oiii_#_flux_err > # AND h_beta_flux_err > # AND nii_#_flux_err > # AND h_alpha_flux_err > # AND oiii_#_flux/oiii_#_flux_err > # AND h_beta_flux/h_beta_flux_err > # AND nii_#_flux/nii_#_flux_err > # AND h_alpha_flux/h_alpha_flux_err > #"
2019-04-25 13:13:00,1
2019-04-25 15:05:00,1
2019-04-25 15:14:00,1
2019-04-25 17:02:00,1
2019-04-25 17:03:00,1
2019-04-26 16:33:00,1
2019-04-26 17:23:00,1
2019-05-01 10:31:00,1
2019-05-01 14:16:00,1
2019-05-04 15:25:00,1
2019-05-04 18:46:00,1
2019-05-06 13:45:00,1
2019-05-06 13:47:00,1
2019-05-06 19:32:00,1
2019-05-06 19:33:00,1
2019-05-07 10:41:00,2
2019-05-07 10:42:00,2
2019-05-07 10:45:00,2
2019-05-07 10:47:00,4
2019-05-07 10:48:00,2
