2,"SELECT DISTINCT p.objid, p.ra, p.dec, p.type FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-08-15 22:43:00,1
2019-08-15 22:56:00,1
