158,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-04 23:44:00,3
2019-01-07 17:06:00,1
2019-01-07 17:07:00,1
2019-01-08 12:12:00,1
2019-01-14 09:22:00,1
2019-01-18 23:12:00,1
2019-02-02 19:48:00,1
2019-02-03 18:38:00,1
2019-02-03 18:41:00,1
2019-03-01 11:31:00,1
2019-03-21 21:34:00,1
2019-03-28 17:33:00,1
2019-03-28 17:34:00,1
2019-03-28 21:50:00,1
2019-03-28 21:51:00,1
2019-03-28 23:48:00,1
2019-04-08 08:16:00,1
2019-04-17 03:19:00,1
2019-04-17 03:21:00,1
2019-04-20 05:51:00,1
2019-04-23 23:14:00,1
2019-04-30 12:14:00,1
2019-05-09 12:32:00,1
2019-05-09 12:33:00,1
2019-05-09 12:37:00,1
2019-05-09 12:38:00,1
2019-05-09 14:52:00,1
2019-05-09 14:53:00,1
2019-05-09 14:59:00,1
2019-05-09 15:00:00,3
2019-05-09 15:01:00,2
2019-05-09 15:02:00,1
2019-05-09 15:03:00,1
2019-05-13 21:10:00,1
2019-05-13 21:21:00,1
2019-05-13 21:29:00,2
2019-05-13 21:30:00,1
2019-05-13 21:33:00,1
2019-05-13 21:35:00,1
2019-05-13 21:41:00,2
2019-05-13 21:42:00,1
2019-05-17 04:53:00,1
2019-05-17 05:00:00,2
2019-05-17 05:01:00,1
2019-05-17 05:02:00,1
2019-05-19 10:15:00,1
2019-05-19 10:20:00,1
2019-05-21 12:35:00,1
2019-05-21 12:36:00,1
2019-05-28 15:29:00,1
2019-05-31 16:11:00,1
2019-06-03 23:05:00,1
2019-06-03 23:06:00,3
2019-06-03 23:09:00,1
2019-06-03 23:10:00,1
2019-06-03 23:48:00,1
2019-06-08 20:44:00,1
2019-06-09 10:37:00,1
2019-06-17 14:24:00,1
2019-06-17 15:59:00,1
2019-06-21 12:09:00,1
2019-06-30 12:34:00,1
2019-06-30 12:36:00,1
2019-06-30 12:45:00,1
2019-06-30 22:01:00,1
2019-06-30 23:10:00,1
2019-07-01 17:12:00,1
2019-07-01 17:14:00,1
2019-07-01 17:15:00,2
2019-07-01 18:17:00,1
2019-07-01 21:13:00,1
2019-07-01 21:14:00,1
2019-07-01 21:36:00,1
2019-07-01 22:48:00,1
2019-07-01 23:03:00,1
2019-07-01 23:53:00,1
2019-07-01 23:57:00,1
2019-07-02 00:00:00,1
2019-07-02 00:20:00,1
2019-07-02 00:21:00,1
2019-07-02 00:22:00,1
2019-07-02 10:25:00,1
2019-07-02 14:28:00,1
2019-07-05 16:42:00,3
2019-07-05 16:43:00,2
2019-07-05 16:45:00,2
2019-07-05 16:46:00,2
2019-07-05 16:47:00,2
2019-07-05 16:51:00,3
2019-07-05 16:52:00,1
2019-07-05 17:03:00,1
2019-07-05 17:07:00,1
2019-07-05 17:10:00,3
2019-07-05 17:11:00,1
2019-07-05 17:12:00,1
2019-07-05 17:13:00,1
2019-07-05 17:50:00,1
2019-07-05 17:51:00,2
2019-07-05 17:52:00,2
2019-07-05 20:20:00,1
2019-07-17 04:17:00,1
2019-08-02 08:44:00,1
2019-08-07 12:29:00,1
2019-08-12 14:18:00,1
2019-08-14 12:25:00,1
2019-08-22 05:42:00,1
2019-09-17 03:38:00,1
2019-09-17 07:16:00,1
2019-10-09 01:58:00,1
2019-10-19 18:49:00,1
2019-11-10 13:20:00,1
2019-11-10 21:08:00,1
2019-11-10 22:37:00,2
2019-11-10 22:41:00,2
2019-11-11 00:06:00,1
2019-11-11 00:11:00,1
2019-11-18 22:16:00,1
2019-11-18 22:22:00,1
2019-11-18 22:23:00,1
2019-11-18 22:25:00,1
2019-11-18 22:38:00,1
2019-11-25 02:48:00,1
2019-11-25 02:49:00,1
2019-12-11 03:34:00,1
2019-12-13 13:57:00,1
2019-12-15 08:16:00,1
2019-12-15 08:17:00,1
2019-12-15 08:18:00,2
2019-12-15 08:19:00,1
2019-12-19 10:42:00,1
2019-12-20 16:39:00,1
2019-12-27 13:35:00,1
