2,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and (p.u BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-11-15 10:13:00,1
2019-11-15 10:14:00,1
