14,"SELECT TOP # p.objID, s.specObjID, s.ra, s.dec, s.run, s.rerun, s.camcol, s.field, s.obj, s.z, s.zErr, p.u, p.g, p.r, p.i, p.z, s.petroMag_u, s.petroMag_g, s.petroMag_r, s.petroMag_i, s.petroMag_z, s.extinction_u, s.extinction_g, s.extinction_r, s.extinction_i, s.extinction_z, Photoz.z, Photoz.zErr FROM SpecPhotoAll as s, Photoz, PhotoObjAll as p WHERE p.objID = Photoz.objID AND p.objID = s.objID and p.objID IN (#, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #, #"
2019-09-24 16:42:00,1
2019-09-24 16:47:00,1
2019-09-24 16:48:00,1
2019-09-24 16:49:00,1
2019-09-24 16:50:00,1
2019-09-24 16:51:00,1
2019-09-24 16:52:00,1
2019-09-24 16:53:00,1
2019-09-24 16:54:00,1
2019-09-24 16:55:00,1
2019-09-24 16:56:00,1
2019-09-24 16:57:00,1
2019-09-24 16:58:00,1
2019-09-24 16:59:00,1
