23,"select p.objid, p.specObjID, p.ra, p.dec, p.g, p.r from photoObj p join dbo.fgetnearbyobjeq (#, #, #) n on p.objid = n.objid join specObj s on p.objid = s.bestobjid where p.petrorad_r > # and p.r < # and s.Class = # and s.z > = #"
2019-02-15 21:07:00,1
2019-02-15 21:20:00,1
2019-02-15 21:21:00,2
2019-02-15 21:22:00,1
2019-02-15 21:33:00,2
2019-02-15 21:55:00,1
2019-02-15 23:40:00,1
2019-02-15 23:45:00,1
2019-02-16 00:29:00,3
2019-02-16 00:31:00,1
2019-02-16 00:37:00,1
2019-02-16 00:38:00,1
2019-02-16 00:42:00,1
2019-02-16 00:48:00,1
2019-02-16 16:36:00,1
2019-02-16 16:37:00,1
2019-02-16 16:38:00,1
2019-02-16 16:41:00,1
2019-02-17 19:55:00,1
