1119,select fieldid from field where skyslope_r between .# and .# and medianpsfcolor_r between # and #
2019-01-24 13:34:00,1
2019-01-24 13:38:00,2
2019-01-24 14:17:00,1
2019-01-24 14:19:00,2
2019-01-24 14:51:00,2
2019-01-24 16:23:00,3
2019-01-24 16:49:00,2
2019-01-24 16:50:00,6
2019-01-24 16:51:00,1
2019-01-24 16:52:00,2
2019-01-24 17:11:00,2
2019-01-24 17:14:00,2
2019-01-24 17:46:00,1
2019-01-24 17:48:00,1
2019-01-24 18:21:00,1
2019-01-24 19:52:00,3
2019-01-24 20:18:00,2
2019-01-24 20:19:00,4
2019-01-24 20:20:00,3
2019-01-24 20:21:00,3
2019-01-24 20:46:00,1
2019-01-24 21:20:00,1
2019-01-24 21:21:00,2
2019-01-24 21:22:00,2
2019-01-24 22:11:00,2
2019-01-24 22:14:00,2
2019-01-24 22:19:00,4
2019-01-24 22:36:00,2
2019-01-24 22:37:00,3
2019-01-24 22:41:00,2
2019-01-24 22:42:00,2
2019-01-24 22:47:00,4
2019-01-24 22:48:00,11
2019-01-24 22:49:00,9
2019-01-24 22:50:00,3
2019-01-24 22:51:00,1
2019-01-24 22:53:00,7
2019-01-24 22:56:00,3
2019-01-24 22:57:00,6
2019-01-24 22:58:00,3
2019-01-24 22:59:00,9
2019-01-24 23:00:00,2
2019-01-24 23:03:00,2
2019-01-24 23:04:00,2
2019-01-24 23:07:00,1
2019-01-24 23:13:00,1
2019-01-24 23:18:00,2
2019-01-24 23:26:00,1
2019-01-24 23:28:00,1
2019-01-24 23:45:00,1
2019-01-25 00:25:00,1
2019-01-25 00:29:00,4
2019-01-25 00:33:00,2
2019-01-25 00:42:00,1
2019-01-25 00:59:00,4
2019-01-25 01:00:00,3
2019-01-25 01:01:00,6
2019-01-25 01:04:00,2
2019-01-25 01:30:00,4
2019-01-25 01:33:00,2
2019-01-25 01:34:00,5
2019-01-25 01:35:00,3
2019-01-25 01:36:00,1
2019-01-25 01:44:00,1
2019-01-25 01:49:00,1
2019-01-25 02:15:00,1
2019-01-25 02:16:00,4
2019-01-25 02:17:00,1
2019-01-25 02:33:00,1
2019-01-25 03:02:00,4
2019-01-25 03:04:00,3
2019-01-25 03:10:00,1
2019-01-25 03:52:00,4
2019-01-25 03:53:00,5
2019-01-25 04:18:00,4
2019-01-25 04:19:00,7
2019-01-25 04:20:00,3
2019-01-25 04:21:00,5
2019-01-25 04:42:00,1
2019-01-25 05:03:00,4
2019-01-25 05:04:00,1
2019-01-25 05:12:00,2
2019-01-25 05:13:00,2
2019-01-25 05:14:00,1
2019-01-25 05:16:00,3
2019-01-25 05:27:00,2
2019-01-25 06:07:00,2
2019-01-25 06:08:00,4
2019-01-25 06:13:00,3
2019-01-25 06:14:00,6
2019-01-25 06:15:00,3
2019-01-25 06:16:00,2
2019-01-25 08:19:00,1
2019-01-25 08:20:00,1
2019-01-25 08:21:00,3
2019-01-25 08:23:00,5
2019-01-25 08:24:00,4
2019-01-25 08:25:00,1
2019-01-25 08:26:00,4
2019-01-25 08:27:00,2
