17,"SELECT p.objID, s.sourceType, s.class, s.subclass, p.clean, p.RA, p.DEC, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z FROM PhotoObj As p JOIN specObj As s ON s.bestObjID = p.ObjID WHERE type = #"
2019-06-22 21:12:00,1
2019-06-23 18:32:00,1
2019-06-23 18:35:00,1
2019-06-23 18:37:00,1
2019-06-23 18:40:00,1
2019-06-23 18:42:00,2
2019-06-23 18:46:00,1
2019-06-23 18:47:00,1
2019-06-23 18:48:00,1
2019-06-23 19:01:00,2
2019-06-23 19:03:00,1
2019-06-23 19:05:00,1
2019-06-23 19:07:00,1
2019-06-23 19:08:00,1
2019-06-23 19:57:00,1
