5,"SELECT ra, dec, z FROM SpecObj WHERE (ra between # and #) AND (dec between +# and +#)"
2019-08-20 17:05:00,1
2019-08-20 17:06:00,1
2019-08-20 17:09:00,1
2019-08-20 17:10:00,2
