29,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.subclass, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE (flags_r & #) ! = # AND (flags_r & #) = # AND (flags_r & #) = # AND s.class = # AND s.subclass = # AND p.u < # AND p.g < # AND p.r < # AND p.i < # AND p.z < #"
2019-06-13 12:25:00,1
2019-06-13 12:26:00,4
2019-06-13 12:27:00,2
2019-06-13 20:00:00,1
2019-06-13 20:01:00,1
2019-06-17 08:43:00,1
2019-06-17 08:45:00,2
2019-06-17 09:04:00,2
2019-06-17 09:05:00,1
2019-06-17 12:47:00,1
2019-07-08 10:17:00,1
2019-08-16 10:43:00,1
2019-08-17 17:17:00,1
2019-09-04 14:59:00,1
2019-09-04 15:06:00,2
2019-09-04 15:07:00,1
2019-09-04 15:18:00,1
2019-09-04 15:20:00,1
2019-09-04 15:21:00,1
2019-09-04 15:35:00,1
2019-09-06 17:24:00,1
2019-09-09 15:16:00,1
