3,"SELECT s.specobjid, s.bestObjID, s.ra, s.dec, s.plate, s.mjd, s.fiberid, m.oiii_#_cont, m.nii_#_cont, m.h_alpha_cont, m.h_beta_cont, k.u, k.g, k.r, k.i, k.z, k.petroMag_u, petroMag_g, petroMag_r, petroMag_i, petroMag_z FROM #upload u JOIN SpecObjAll s ON (s.plate = u.up_plate AND s.mjd = u.up_mjd AND s.fiberID = u.up_fiber) JOIN galSpecLine m ON m.specObjID = s.specobjid JOIN PhotoObj k ON k.objID = s.bestObjID##', @log = #, @filter = #"
2019-03-31 23:04:00,2
2019-03-31 23:10:00,1
