10,"select z, class from specObj where z Between # and # AND class = #"
2019-02-04 15:34:00,1
2019-02-04 15:35:00,2
2019-02-04 15:37:00,1
2019-02-04 18:09:00,3
2019-02-04 18:24:00,1
2019-02-04 18:25:00,2
