5,"SELECT top # ra, dec, z, zErr, spectroFlux_u, spectroFlux_g, spectroFlux_r, spectroFlux_i, spectroFlux_z FROM SpecObj WHERE zWarning = # AND z> # AND class = # AND ra> # AND ra< # AND z< # ORDER by z"
2019-01-24 07:34:00,1
2019-01-24 07:35:00,4
