7,"SELECT m.id, m.ra, m.dec, n.objid, n.distance, o.ra, o.dec FROM MyDB.posMPL6 AS m CROSS APPLY dbo.fGetNearestObjEq (m.ra, m.dec, #) AS n JOIN PhotoObj AS o ON n.objid = o.objid -- CREATE TABLE specDR1# -- INSERT INTO mydb.specDR1# --SELECT u.up_id, u.up_ra, u.up_dec FROM MyDB.posMPL6 AS u -- dbo.fGetNearestSpecObjIdEq (u.up_ra, u.up_dec, #) FROM mydb.posMPL6 AS u -- WHERE dbo.fGetNearestSpecObjIdEq (up_ra, up_dec, #) IS NOT # --SELECT s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid FROM mydb.posMPL6 AS u --JOIN mydb.specDR1# x ON x.up_id = u.up_id --JOIN SpecObjAll s ON s.specObjID = u.specObjID --JOIN SpecObjAll s ON s.specObjID = x.specObjID"
2019-01-18 16:16:00,2
2019-01-18 16:17:00,4
2019-01-18 16:18:00,1
