3,"SELECT DISTINCT p.modelMag_g, p.modelMag_r, p.modelMag_i FROM PhotoObjAll AS p WHERE ( (p.ra between # and #) and (p.dec between # and #) )"
2019-03-25 18:48:00,1
2019-03-25 21:46:00,1
2019-03-25 21:52:00,1
