2,"select FORMAT (s.loggadop, #) , FORMAT (s.fehadop, #) , FORMAT (s.teffadop, #) , s.plate, s.mjd, s.fiberid, Format (s.snr, #) , s.flag, FORMAT (ph.extinction_g, #) , FORMAT (ph.psfMag_g, #) , FORMAT (ph.psfMagErr_g, #) , FORMAT (ph.psfMagErr_r, #) , Format (ph.psfMag_g - ph.psfMag_r- ph.extinction_g + ph.extinction_r, #) as gr0, IIF ((flags_r & #) ! =# or (flags_r & #) ! =# or ( (flags_r &#) ! =# or (flags_g & #) ! =# or (flags_g & #) ! =# or ( (flags_g &#) ! =#) ), #, #) as psfflags, IIF ((flags_r & #) ! =# or (flags_r & #) ! = # or (flags_g & #) ! =# or (flags_g & #) ! =#, #, #) as edgebadflags into mydb.rredo_flags_dr1# from sppParams s join Star as ph on ph.objid = s.bestobjid where s.sciencePrimary = # and ph.type = # and s.loggadop> # and s.fehadop> # and ph.psfMag_g - ph.psfMag_r- ph.extinction_g + ph.extinction_r > =# and ph.psfMag_g - ph.psfMag_r- ph.extinction_g + ph.extinction_r < = # and ph.psfMag_r-extinction_r< # and ph.extinction_g-ph.extinction_r< # and sqrt (ph.psfMagErr_g*ph.psfMagErr_g+ph.psfMagErr_r*ph.psfMagErr_r) < #"
2019-11-18 16:25:00,1
2019-11-18 16:34:00,1
