5,"SELECT p.ra, p.dec, p.z , p.zErr, s.velDisp, s.velDispErr FROM SpecObj AS s JOIN SpecPhotoAll AS p ON s.specObjID = p.specObjID WHERE (p.ra between # and #) and (p.dec between # and #) and (p.petroMag_r + p.extinction_r< #) and (p.zWarning = #) and p.class = # and p.subclass = # and p.survey = # and p.programname = #"
2019-11-02 15:48:00,3
2019-11-02 15:52:00,2
