1881,select * from zoo2Stripe8#Coadd1 where dr8objid = #
2019-01-01 04:47:00,1
2019-01-01 07:08:00,1
2019-01-01 07:18:00,1
2019-01-01 10:27:00,1
2019-01-01 12:12:00,1
2019-01-01 12:59:00,1
2019-01-01 16:25:00,1
2019-01-01 17:05:00,1
2019-01-01 20:10:00,1
2019-01-01 22:18:00,1
2019-01-02 03:51:00,1
2019-01-02 04:32:00,1
2019-01-02 04:55:00,2
2019-01-02 08:20:00,1
2019-01-02 13:45:00,1
2019-01-02 15:32:00,1
2019-01-02 15:56:00,1
2019-01-02 16:23:00,1
2019-01-02 16:52:00,1
2019-01-02 18:06:00,1
2019-01-02 20:20:00,1
2019-01-02 20:27:00,1
2019-01-02 22:27:00,1
2019-01-02 23:07:00,1
2019-01-02 23:13:00,1
2019-01-03 00:17:00,1
2019-01-03 00:26:00,1
2019-01-03 00:31:00,1
2019-01-03 00:37:00,1
2019-01-03 01:23:00,1
2019-01-03 01:42:00,1
2019-01-03 01:48:00,1
2019-01-03 03:32:00,1
2019-01-03 03:44:00,1
2019-01-03 06:04:00,1
2019-01-03 06:06:00,1
2019-01-03 06:10:00,1
2019-01-03 06:20:00,1
2019-01-03 09:00:00,1
2019-01-03 10:55:00,2
2019-01-03 11:30:00,1
2019-01-03 11:46:00,1
2019-01-03 13:53:00,1
2019-01-03 15:31:00,1
2019-01-03 16:04:00,1
2019-01-03 16:49:00,1
2019-01-03 19:07:00,1
2019-01-03 20:06:00,1
2019-01-04 00:38:00,2
2019-01-04 00:43:00,1
2019-01-04 01:00:00,1
2019-01-04 01:28:00,1
2019-01-04 01:49:00,1
2019-01-04 02:07:00,1
2019-01-04 02:54:00,1
2019-01-04 05:20:00,1
2019-01-04 05:57:00,1
2019-01-04 06:48:00,1
2019-01-04 08:09:00,1
2019-01-04 08:42:00,1
2019-01-04 08:53:00,1
2019-01-04 09:44:00,1
2019-01-04 15:19:00,1
2019-01-04 16:25:00,1
2019-01-04 19:00:00,1
2019-01-04 23:14:00,1
2019-01-05 04:26:00,2
2019-01-05 04:28:00,1
2019-01-05 08:11:00,1
2019-01-05 09:08:00,1
2019-01-05 15:12:00,1
2019-01-05 19:39:00,1
2019-01-06 08:09:00,1
2019-01-07 10:12:00,1
2019-01-07 10:49:00,1
2019-01-07 18:36:00,1
2019-01-07 18:46:00,1
2019-01-08 04:11:00,1
2019-01-08 17:57:00,1
2019-01-08 18:14:00,1
2019-01-08 19:05:00,1
2019-01-08 20:45:00,1
2019-01-09 00:58:00,1
2019-01-09 04:23:00,1
2019-01-09 11:33:00,1
2019-01-09 23:34:00,1
2019-01-09 23:40:00,1
2019-01-10 18:56:00,1
2019-01-12 06:38:00,1
2019-01-19 12:09:00,1
2019-01-20 21:46:00,1
2019-01-21 15:28:00,1
2019-01-21 15:50:00,1
2019-01-21 19:53:00,1
2019-01-22 06:13:00,1
2019-01-22 22:54:00,1
2019-01-24 07:48:00,1
2019-01-24 21:46:00,1
2019-01-25 16:46:00,1
2019-01-25 21:07:00,1
2019-01-26 13:34:00,1
2019-01-26 13:35:00,1
2019-01-27 04:02:00,8
2019-01-27 06:54:00,1
2019-01-27 09:28:00,1
2019-01-27 17:29:00,1
2019-01-27 17:54:00,1
2019-01-27 19:10:00,1
2019-01-27 22:15:00,1
2019-01-27 23:17:00,1
2019-01-27 23:50:00,1
2019-01-28 04:40:00,1
2019-01-28 04:43:00,1
2019-01-28 05:11:00,1
2019-01-28 07:42:00,1
2019-01-28 09:58:00,1
2019-01-28 10:42:00,1
2019-01-28 18:44:00,1
2019-01-28 19:29:00,1
2019-01-29 00:30:00,1
2019-01-29 02:13:00,1
2019-01-29 08:38:00,1
2019-01-29 14:52:00,1
2019-01-29 15:21:00,1
2019-01-29 16:56:00,1
2019-01-29 17:20:00,1
2019-01-30 01:44:00,1
2019-01-30 02:58:00,1
2019-01-30 04:01:00,1
2019-01-30 05:17:00,1
2019-01-30 06:04:00,1
2019-01-30 06:05:00,4
2019-01-30 13:54:00,1
2019-01-30 14:30:00,1
2019-01-30 15:12:00,1
2019-01-30 16:32:00,1
2019-01-31 06:07:00,1
2019-01-31 12:47:00,1
2019-01-31 16:35:00,1
2019-01-31 20:51:00,1
2019-01-31 23:33:00,1
2019-02-01 09:36:00,1
2019-02-01 13:20:00,1
2019-02-01 14:44:00,11
2019-02-01 14:45:00,4
2019-02-01 17:21:00,1
2019-02-01 18:05:00,1
2019-02-01 18:23:00,21
2019-02-01 20:40:00,1
2019-02-01 20:43:00,1
2019-02-01 20:53:00,2
2019-02-01 20:54:00,5
2019-02-01 20:55:00,10
2019-02-01 20:56:00,3
2019-02-01 20:57:00,7
2019-02-01 20:58:00,11
2019-02-01 20:59:00,5
2019-02-01 21:00:00,9
2019-02-01 21:01:00,6
2019-02-01 21:02:00,6
2019-02-01 22:39:00,1
2019-02-01 22:40:00,9
2019-02-01 22:41:00,7
2019-02-01 22:42:00,7
2019-02-01 22:43:00,6
2019-02-01 22:44:00,6
2019-02-01 22:45:00,6
2019-02-01 22:46:00,4
2019-02-01 22:47:00,7
2019-02-01 22:48:00,5
2019-02-02 01:41:00,1
2019-02-02 03:13:00,1
2019-02-02 03:44:00,1
2019-02-02 03:45:00,12
2019-02-02 03:46:00,13
2019-02-02 03:47:00,11
2019-02-02 03:48:00,13
2019-02-02 04:12:00,1
2019-02-02 08:01:00,1
2019-02-02 08:26:00,1
2019-02-03 04:25:00,1
2019-02-03 06:41:00,1
2019-02-03 09:55:00,1
2019-02-03 18:56:00,1
2019-02-03 22:27:00,2
2019-02-04 02:32:00,1
2019-02-04 11:32:00,1
2019-02-05 06:32:00,1
2019-02-10 16:15:00,1
2019-02-11 21:54:00,3
2019-02-11 21:55:00,1
2019-02-20 10:27:00,1
2019-02-20 20:21:00,10
2019-02-21 18:28:00,7
2019-02-26 18:49:00,1
2019-03-02 07:51:00,1
2019-03-04 20:37:00,1
2019-03-13 23:24:00,1
2019-03-18 01:11:00,2
2019-03-26 12:10:00,3
2019-03-29 03:03:00,1
2019-04-02 13:25:00,1
2019-04-02 18:23:00,1
2019-04-04 18:22:00,1
