2,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, s.class, s.subclass, s.z as redshift, s.mjd FROM PhotoObj AS p JOIN SpecObj AS s ON s.bestobjid = p.objid WHERE s.ra < # and s.ra > # AND s.dec > # and s.dec < # AND s.class = # AND p.r < #"
2019-01-02 05:56:00,1
2019-01-02 05:57:00,1
