5,"SELECT nvisits, apstar_id, ra, dec, vhelio_avg, synthvhelio_avg FROM apogeeStar WHERE nvisits > # AND apstar_id LIKE #"
2019-07-12 13:29:00,2
2019-07-12 13:30:00,2
2019-07-12 13:31:00,1
