84,SELECT ALL
2019-01-25 01:01:00,2
2019-01-25 01:02:00,1
2019-01-25 01:19:00,3
2019-01-25 01:20:00,1
2019-01-25 01:23:00,2
2019-01-25 01:24:00,4
2019-01-25 01:26:00,1
2019-01-25 01:27:00,3
2019-01-25 01:46:00,1
2019-02-22 17:42:00,2
2019-02-27 18:58:00,2
2019-02-27 19:01:00,1
2019-02-27 19:03:00,2
2019-02-27 19:05:00,2
2019-02-27 19:24:00,2
2019-02-27 19:33:00,2
2019-02-27 19:39:00,1
2019-02-27 19:43:00,1
2019-02-27 19:46:00,1
2019-02-27 20:13:00,2
2019-02-27 20:14:00,3
2019-02-27 20:15:00,3
2019-02-27 20:16:00,1
2019-02-27 20:18:00,1
2019-02-27 20:20:00,2
2019-02-27 20:26:00,2
2019-02-27 20:59:00,1
2019-02-27 21:00:00,1
2019-02-27 21:01:00,1
2019-02-27 21:32:00,1
2019-03-13 06:33:00,1
2019-03-13 06:34:00,1
2019-03-13 07:28:00,1
2019-03-13 07:43:00,1
2019-03-13 08:04:00,2
2019-03-13 08:05:00,1
2019-03-13 08:07:00,2
2019-03-21 14:18:00,1
2019-03-21 14:54:00,3
2019-03-21 14:55:00,1
2019-03-21 14:56:00,1
2019-03-21 17:45:00,1
2019-03-21 17:50:00,1
2019-03-21 17:51:00,1
2019-03-31 23:12:00,1
2019-03-31 23:16:00,1
2019-04-01 00:20:00,1
2019-06-24 13:51:00,1
2019-10-03 18:20:00,1
2019-10-23 18:24:00,1
2019-10-23 18:26:00,1
2019-10-23 18:27:00,1
2019-10-23 18:29:00,1
2019-10-23 18:37:00,1
2019-10-23 18:38:00,1
2019-12-12 05:36:00,3
