43,"SELECT TOP # p.run, p.rerun, p.camCol, p.field, p.obj FROM BESTDR8..PhotoObj AS p JOIN dbo.fGetNearbyObjEq (#, #, #) AS b ON b.objID = P.objID WHERE (p.type = # OR p.type = #)"
2019-01-10 13:42:00,1
2019-01-10 13:43:00,1
2019-02-05 09:27:00,1
2019-02-22 06:07:00,1
2019-03-03 08:52:00,1
2019-03-03 09:05:00,1
2019-03-03 09:16:00,1
2019-03-03 09:27:00,1
2019-03-03 10:46:00,1
2019-03-03 11:08:00,1
2019-03-03 11:50:00,1
2019-03-03 12:19:00,1
2019-03-10 10:41:00,1
2019-03-10 23:16:00,1
2019-03-11 15:34:00,1
2019-03-11 15:35:00,2
2019-03-11 15:36:00,1
2019-03-21 18:20:00,1
2019-03-21 18:21:00,1
2019-03-22 18:05:00,1
2019-03-25 15:36:00,1
2019-04-10 22:21:00,1
2019-04-11 04:59:00,1
2019-04-11 06:56:00,1
2019-05-03 23:10:00,1
2019-05-05 23:28:00,1
2019-05-17 19:57:00,3
2019-08-13 04:37:00,1
2019-08-13 04:44:00,1
2019-08-13 04:45:00,1
2019-08-13 04:59:00,1
2019-09-24 09:12:00,1
2019-09-24 12:48:00,1
2019-09-29 11:28:00,1
2019-09-29 11:29:00,1
2019-09-29 11:30:00,3
2019-09-29 11:31:00,1
2019-12-09 19:38:00,1
