56,"SELECT dr7objid, dr8objid FROM PhotoObjDR7 WHERE dr7objid IN ()"
2019-01-30 10:24:00,2
2019-01-30 10:25:00,6
2019-01-30 10:26:00,2
2019-01-30 10:27:00,2
2019-01-30 10:28:00,3
2019-01-30 10:29:00,6
2019-01-30 10:30:00,5
2019-01-30 10:31:00,5
2019-01-30 10:32:00,2
2019-01-30 13:08:00,1
2019-01-30 13:12:00,1
2019-01-30 13:14:00,1
2019-01-30 16:12:00,1
2019-01-30 16:13:00,5
2019-01-30 16:36:00,1
2019-01-31 14:57:00,1
2019-02-01 09:50:00,1
2019-02-01 10:23:00,2
2019-02-06 15:57:00,1
2019-02-06 16:08:00,1
2019-02-07 17:05:00,1
2019-02-07 17:34:00,1
2019-02-08 11:06:00,1
2019-02-08 14:29:00,1
2019-03-18 15:05:00,1
2019-03-18 15:53:00,1
2019-03-18 16:47:00,1
