2,"SELECT top # p.ObjID, p.ra, p.dec, p.petroMag_g, p.petroMag_r, p.petroMag_i, s.z FROM photoObjAll p JOIN specObjAll s ON s.specObjID = p.ObjID JOIN dbo.fGetNearbyObjEq (#, #, #) n ON n.objID = p.objID WHERE s.class = # AND s.z BETWEEN # and #"
2019-12-04 03:55:00,1
2019-12-04 03:56:00,1
