2,"SELECT po.objid, po.mjd, po.field, po.ra, po.dec, po.u, po.g, po.r, po.i, po.z, po.err_u, po.err_g, po.err_r, po.err_i, po.err_z, sp.bestobjid, sp.teffadop, sp.fehadop, sp.loggadop, sp.snr, sp.flag FROM PhotoObjAll po JOIN sppparams as sp On po.objid = sp.bestobjid WHERE ra > # and ra < # AND dec > # and dec < # AND po.type = # WHERE ra > # and ra < # AND dec > # and dec < #"
2019-04-08 12:36:00,1
2019-04-08 12:37:00,1
