48,"SELECT TOP # p.g, p.r FROM PhotoObj AS p WHERE p.g BETWEEN # AND # AND p.r BETWEEN # AND #"
2019-03-19 17:44:00,1
2019-03-19 17:45:00,1
2019-03-19 17:46:00,1
2019-03-19 18:46:00,1
2019-03-19 20:56:00,1
2019-03-24 15:17:00,1
2019-04-02 12:34:00,1
2019-05-16 10:11:00,1
2019-06-03 19:57:00,1
2019-06-03 20:06:00,1
2019-06-12 08:45:00,2
2019-06-12 08:49:00,5
2019-06-12 08:50:00,3
2019-06-12 08:51:00,1
2019-06-12 08:52:00,3
2019-06-12 08:53:00,3
2019-06-12 08:54:00,1
2019-06-12 09:42:00,1
2019-06-12 09:43:00,2
2019-06-12 09:44:00,1
2019-06-12 09:45:00,2
2019-06-12 09:46:00,3
2019-06-12 09:47:00,4
2019-06-12 09:49:00,2
2019-06-12 09:50:00,2
2019-06-12 09:54:00,1
2019-06-12 10:17:00,1
2019-06-12 10:18:00,1
