32,select top # * from specobjall
2019-01-10 05:51:00,1
2019-01-10 05:52:00,1
2019-01-10 05:53:00,1
2019-01-10 06:09:00,1
2019-01-10 06:48:00,2
2019-01-10 06:51:00,1
2019-03-16 21:35:00,1
2019-03-16 21:36:00,1
2019-03-16 21:39:00,1
2019-05-14 10:38:00,1
2019-05-14 10:39:00,1
2019-06-26 03:58:00,1
2019-07-15 06:25:00,1
2019-07-15 06:55:00,1
2019-09-02 04:54:00,2
2019-09-02 04:56:00,1
2019-09-08 05:25:00,1
2019-09-08 05:27:00,1
2019-09-08 05:28:00,2
2019-09-08 05:29:00,1
2019-09-08 08:50:00,1
2019-09-10 05:10:00,1
2019-09-10 05:11:00,2
2019-09-10 05:13:00,1
2019-10-11 03:25:00,1
2019-10-13 05:30:00,1
2019-10-30 11:18:00,1
2019-12-04 10:16:00,1
