131,"SELECT top # p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.Err_u, p.Err_g, p.Err_r, p.Err_i, p.Err_z, p.dered_u, p.dered_g, p.dered_r, p.dered_i, p.dered_z, pz.z, pz.zerr FROM fGetNearbyObjEq (#, #, #) n, PhotoObj p, Photoz pz WHERE p.r < # and n.objID = p.objID and pz.objID = p.objID and p.type = #"
2019-08-11 21:44:00,1
2019-08-11 21:51:00,1
2019-08-11 21:57:00,1
2019-08-11 22:03:00,1
2019-08-11 22:17:00,2
2019-08-11 22:18:00,1
2019-08-11 23:49:00,1
2019-08-11 23:51:00,1
2019-08-11 23:54:00,1
2019-08-11 23:57:00,1
2019-08-11 23:58:00,1
2019-08-11 23:59:00,2
2019-08-12 00:33:00,1
2019-08-12 00:34:00,1
2019-08-12 00:35:00,2
2019-08-12 00:40:00,1
2019-08-12 00:42:00,1
2019-08-12 00:44:00,3
2019-08-12 01:03:00,1
2019-08-12 01:04:00,1
2019-08-12 01:12:00,1
2019-08-12 01:34:00,2
2019-08-12 01:38:00,1
2019-08-12 01:40:00,2
2019-08-12 01:41:00,1
2019-08-12 01:42:00,1
2019-08-12 01:44:00,2
2019-08-12 01:46:00,1
2019-08-12 01:48:00,2
2019-08-12 01:50:00,1
2019-08-12 01:51:00,1
2019-08-12 01:54:00,2
2019-08-12 01:55:00,1
2019-08-12 01:56:00,1
2019-08-12 02:04:00,1
2019-08-12 02:05:00,1
2019-08-12 02:07:00,1
2019-08-12 02:08:00,1
2019-08-12 02:10:00,2
2019-08-12 02:11:00,2
2019-08-12 02:45:00,1
2019-08-12 02:48:00,3
2019-08-12 03:01:00,1
2019-08-12 03:03:00,1
2019-08-12 03:04:00,1
2019-08-12 03:06:00,1
2019-08-12 03:07:00,3
2019-08-12 03:12:00,2
2019-08-12 03:13:00,1
2019-08-12 03:15:00,1
2019-08-12 03:16:00,1
2019-08-12 03:17:00,2
2019-08-12 03:18:00,1
2019-08-12 03:19:00,1
2019-08-12 03:20:00,1
2019-08-12 03:21:00,2
2019-08-12 03:22:00,1
2019-08-12 03:23:00,1
2019-08-12 03:24:00,1
2019-08-12 03:25:00,1
2019-08-12 03:26:00,2
2019-08-12 03:29:00,1
2019-08-12 03:30:00,2
2019-08-12 03:31:00,1
2019-08-12 03:32:00,2
2019-08-12 03:33:00,1
2019-08-12 03:36:00,1
2019-08-12 03:37:00,2
2019-08-12 03:42:00,1
2019-08-12 03:52:00,1
2019-08-12 03:54:00,2
2019-08-12 03:55:00,2
2019-08-12 03:56:00,1
2019-08-12 03:57:00,1
2019-08-12 03:58:00,1
2019-08-12 04:02:00,1
2019-08-12 04:03:00,1
2019-08-12 04:04:00,1
2019-08-12 04:08:00,1
2019-08-12 04:09:00,1
2019-08-12 04:11:00,1
2019-08-12 04:13:00,1
2019-08-12 04:14:00,1
2019-08-12 04:15:00,1
2019-08-12 04:16:00,1
2019-08-12 04:17:00,1
2019-08-12 04:18:00,1
2019-08-12 04:19:00,2
2019-08-12 04:21:00,1
2019-08-12 04:22:00,1
2019-08-22 21:14:00,1
2019-08-22 21:27:00,1
2019-08-22 22:49:00,1
2019-08-22 22:50:00,1
2019-08-22 22:53:00,1
2019-08-22 22:57:00,1
2019-08-22 23:01:00,2
2019-08-22 23:03:00,1
2019-08-22 23:04:00,1
2019-08-22 23:06:00,1
2019-08-22 23:07:00,1
2019-08-22 23:13:00,2
2019-08-22 23:14:00,1
