46,"SELECT TOP # p.objid, s.specobjid, p.ra, p.dec, s.z as redshift, p.u, p.g, p.r, p.i, p.z, g.h_alpha_flux as haflux, g.h_alpha_flux_err as haflerr, g.nii_#_flux as niiflux, g.nii_#_flux_err as niifluxerr FROM GalSpecLine AS g JOIN SpecObj AS s ON s.specobjid = g.specobjid JOIN PhotoObj AS p ON p.objid = s.bestobjid WHERE p.r BETWEEN # AND # AND s.z BETWEEN # AND # AND g.h_alpha_flux > #*g.h_alpha_flux_err AND g.h_alpha_flux_err > # AND g.nii_#_flux > #*g.nii_#_flux_err AND g.nii_#_flux_err > # AND s.class = # AND s.zwarning = #"
2019-04-05 16:46:00,1
2019-04-05 16:47:00,1
2019-04-05 16:53:00,1
2019-04-05 17:34:00,1
2019-04-06 23:48:00,1
2019-04-06 23:49:00,1
2019-04-07 06:07:00,1
2019-04-07 06:20:00,1
2019-04-07 06:21:00,1
2019-04-07 16:03:00,1
2019-04-08 15:51:00,1
2019-04-08 15:52:00,1
2019-04-09 15:59:00,1
2019-04-09 16:00:00,1
2019-04-09 19:04:00,1
2019-04-09 19:15:00,1
2019-04-09 19:17:00,1
2019-04-09 21:20:00,1
2019-04-09 21:43:00,1
2019-04-09 21:45:00,1
2019-04-09 22:13:00,1
2019-04-10 00:00:00,1
2019-04-10 00:02:00,1
2019-04-10 05:01:00,1
2019-04-10 05:39:00,1
2019-04-10 08:09:00,1
2019-04-10 08:28:00,1
2019-04-10 08:32:00,1
2019-04-10 08:50:00,7
2019-04-10 15:58:00,3
2019-04-10 16:05:00,1
2019-04-10 16:06:00,1
2019-04-10 16:16:00,1
2019-04-10 16:54:00,1
2019-04-10 17:43:00,1
2019-04-10 18:26:00,1
2019-04-10 18:27:00,1
2019-04-10 18:31:00,1
