2,"SELECT TOP # objid AS name, ra, dec FROM PhotoObj AS p WHERE score > # AND CLEAN = # AND u BETWEEN # AND # AND g BETWEEN # AND # ORDER BY field"
2019-08-07 17:57:00,1
2019-08-07 17:59:00,1
