2,"SELECT TOP # p.objid, p.ra, p.dec, p.u, p.g, p.r, p.i, p.z, p.run, p.rerun, p.camcol, p.field, p.type FROM PhotoObj AS p WHERE p.type = # ORDER by p.r"
2019-11-18 03:13:00,1
2019-11-18 03:14:00,1
