20,"select dbo.fGetUrlFitsCFrame (fieldId, #) as r"
2019-07-10 21:16:00,1
2019-07-11 20:19:00,1
2019-07-12 18:10:00,1
2019-07-15 23:51:00,1
2019-07-16 12:10:00,1
2019-07-17 16:57:00,1
2019-07-19 03:24:00,1
2019-07-19 14:10:00,1
2019-07-20 18:19:00,1
2019-07-21 18:45:00,1
2019-07-22 23:00:00,1
2019-07-24 08:47:00,1
2019-07-25 02:32:00,1
2019-07-25 16:14:00,1
2019-07-26 06:52:00,1
2019-07-27 04:02:00,1
2019-07-28 04:57:00,1
2019-07-28 18:39:00,1
2019-07-29 18:36:00,1
2019-07-29 23:34:00,1
