16,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s, dbo.fgetNearByObjEq (#, #, #) n where p.objid = s.bestobjid and p.objid = n.objid and s.bestobjid = n.objid and s.z BETWEEN # AND #"
2019-01-25 03:58:00,1
2019-01-25 04:42:00,2
2019-11-16 11:45:00,1
2019-12-13 12:34:00,1
2019-12-14 14:43:00,1
2019-12-14 14:45:00,1
2019-12-14 14:46:00,1
2019-12-16 12:26:00,1
2019-12-16 12:54:00,1
2019-12-16 13:00:00,1
2019-12-16 13:49:00,1
2019-12-16 17:16:00,2
2019-12-16 17:19:00,1
2019-12-16 18:26:00,1
