87,"SELECT SUBSTRING (Name, #, #) FROM chinook.Artist"
2019-04-21 12:07:00,1
2019-04-21 12:08:00,2
2019-04-21 12:09:00,4
2019-04-21 12:10:00,5
2019-04-21 12:11:00,3
2019-04-21 12:12:00,1
2019-04-21 12:13:00,2
2019-04-21 12:14:00,2
2019-04-21 12:15:00,1
2019-04-21 12:19:00,1
2019-04-21 12:20:00,3
2019-04-21 12:21:00,2
2019-04-21 12:22:00,1
2019-04-21 12:23:00,1
2019-04-21 12:24:00,4
2019-04-21 12:25:00,1
2019-04-21 12:27:00,5
2019-04-21 12:28:00,2
2019-04-21 12:29:00,4
2019-04-21 12:30:00,3
2019-04-21 12:33:00,2
2019-04-21 12:34:00,1
2019-04-21 12:35:00,5
2019-04-21 12:36:00,1
2019-04-21 12:41:00,6
2019-04-21 12:42:00,1
2019-04-21 12:53:00,1
2019-04-21 12:54:00,2
2019-04-21 12:55:00,5
2019-04-21 12:56:00,4
2019-04-21 12:57:00,1
2019-04-21 12:58:00,2
2019-04-21 13:21:00,1
2019-04-21 18:13:00,1
2019-04-24 14:47:00,3
2019-04-24 14:48:00,1
2019-04-24 18:39:00,1
2019-04-24 18:48:00,1
