31,"select s.nii_#_flux, s.h_alpha_flux, s.h_alpha_eqw from galSpecLine as s where s.specobjid = #"
2019-01-07 00:16:00,1
2019-01-08 06:48:00,1
2019-01-09 06:30:00,1
2019-02-18 00:56:00,1
2019-02-18 04:39:00,1
2019-04-12 05:03:00,3
2019-04-12 05:05:00,2
2019-04-12 05:06:00,3
2019-04-12 05:07:00,4
2019-04-12 05:08:00,4
2019-04-12 05:09:00,3
2019-05-21 12:16:00,1
2019-07-08 06:59:00,1
2019-07-25 04:09:00,1
2019-07-25 05:22:00,1
2019-08-30 00:21:00,1
2019-10-14 16:22:00,1
2019-11-10 05:43:00,1
