3,"select p.ra, p.dec, p.deVPhi_i, deVRad_i from galaxy p, dbo.fgetNearByObjEq (# , # , #) n where p.objid = n.objid"
2019-06-21 14:01:00,1
2019-06-21 14:02:00,1
2019-06-21 14:03:00,1
