2003,"select plate, mjd, fiberID from dbo.fGetNearbySpecObjAllEq (#, #, #)"
2019-01-19 00:49:00,1
2019-01-19 00:50:00,8
2019-01-19 00:52:00,2
2019-01-19 00:53:00,3
2019-01-19 00:54:00,2
2019-01-19 00:55:00,2
2019-01-19 00:56:00,1
2019-01-19 00:57:00,2
2019-01-19 00:58:00,3
2019-01-22 01:02:00,1
2019-01-22 01:03:00,1
2019-01-22 01:04:00,2
2019-01-22 01:05:00,4
2019-01-22 01:06:00,4
2019-01-22 01:07:00,4
2019-01-22 01:08:00,4
2019-01-22 01:09:00,7
2019-01-22 01:10:00,1
2019-03-10 15:04:00,2
2019-03-13 17:10:00,1
2019-03-14 00:40:00,1
2019-03-14 05:37:00,2
2019-03-14 05:38:00,5
2019-03-14 05:39:00,1
2019-03-14 06:17:00,1
2019-03-14 06:18:00,1
2019-03-14 06:19:00,6
2019-03-25 00:49:00,1
2019-03-26 16:11:00,1
2019-03-26 18:52:00,1
2019-03-27 17:50:00,1
2019-03-28 14:39:00,1
2019-03-28 16:29:00,1
2019-03-28 16:30:00,3
2019-03-28 16:32:00,2
2019-03-28 16:33:00,2
2019-03-28 16:34:00,1
2019-03-28 16:39:00,1
2019-03-28 16:42:00,1
2019-03-28 16:45:00,1
2019-03-28 16:46:00,1
2019-03-28 16:47:00,1
2019-03-28 16:49:00,3
2019-03-28 16:50:00,1
2019-03-28 16:51:00,1
2019-03-28 16:52:00,2
2019-03-28 16:53:00,1
2019-03-28 16:54:00,2
2019-03-28 16:55:00,2
2019-03-28 16:56:00,1
2019-03-28 17:00:00,2
2019-03-28 17:01:00,1
2019-03-28 17:19:00,2
2019-03-28 17:20:00,1
2019-03-28 17:40:00,2
2019-03-28 17:41:00,1
2019-03-28 18:10:00,1
2019-03-28 18:11:00,2
2019-03-28 18:12:00,1
2019-03-28 18:13:00,1
2019-03-28 18:21:00,1
2019-03-28 18:24:00,1
2019-03-28 18:26:00,1
2019-03-28 18:27:00,1
2019-03-28 18:30:00,1
2019-03-28 18:33:00,1
2019-03-28 18:35:00,1
2019-03-28 18:36:00,2
2019-03-28 18:37:00,1
2019-03-28 18:38:00,1
2019-03-28 18:39:00,2
2019-03-28 18:41:00,1
2019-03-28 18:52:00,1
2019-03-28 18:54:00,1
2019-03-31 01:43:00,1
2019-03-31 01:48:00,1
2019-03-31 01:49:00,1
2019-03-31 01:50:00,2
2019-03-31 01:51:00,1
2019-03-31 01:52:00,3
2019-03-31 01:53:00,1
2019-03-31 01:54:00,1
2019-03-31 01:57:00,2
2019-03-31 01:58:00,2
2019-03-31 02:02:00,2
2019-03-31 02:03:00,2
2019-03-31 02:04:00,1
2019-03-31 02:05:00,2
2019-03-31 02:08:00,2
2019-03-31 02:09:00,3
2019-03-31 02:10:00,2
2019-03-31 02:11:00,3
2019-03-31 02:12:00,4
2019-03-31 02:13:00,1
2019-03-31 03:11:00,4
2019-03-31 03:12:00,2
2019-03-31 03:13:00,5
2019-03-31 03:20:00,1
2019-03-31 03:22:00,1
2019-03-31 03:23:00,1
2019-03-31 03:24:00,1
2019-03-31 03:26:00,2
2019-03-31 03:27:00,2
2019-03-31 03:28:00,1
2019-03-31 03:32:00,1
2019-03-31 03:33:00,1
2019-03-31 03:34:00,1
2019-03-31 03:57:00,1
2019-03-31 03:58:00,1
2019-03-31 03:59:00,2
2019-03-31 04:02:00,2
2019-03-31 04:03:00,2
2019-03-31 04:04:00,3
2019-03-31 04:05:00,3
2019-03-31 04:13:00,2
2019-03-31 04:15:00,1
2019-03-31 04:17:00,4
2019-03-31 04:21:00,1
2019-03-31 04:22:00,1
2019-03-31 04:27:00,1
2019-03-31 04:28:00,3
2019-04-23 18:22:00,1
2019-05-08 12:08:00,1
2019-05-08 12:09:00,2
2019-05-08 12:10:00,2
2019-05-08 12:12:00,1
2019-05-08 12:16:00,1
2019-05-08 12:22:00,1
2019-05-08 12:23:00,1
2019-05-08 12:29:00,1
2019-05-08 12:36:00,1
2019-05-08 12:39:00,1
2019-05-08 12:42:00,1
2019-05-08 12:43:00,2
2019-05-10 04:19:00,1
2019-05-10 04:20:00,1
2019-05-10 04:21:00,5
2019-05-10 04:22:00,2
2019-05-10 04:26:00,1
2019-05-10 04:28:00,1
2019-05-10 04:29:00,2
2019-05-10 12:17:00,1
2019-05-10 12:18:00,3
2019-05-10 12:19:00,4
2019-05-10 12:20:00,1
2019-05-10 12:21:00,1
2019-05-10 12:22:00,3
2019-05-11 02:08:00,1
2019-05-11 02:09:00,4
2019-05-11 02:10:00,2
2019-05-11 02:11:00,4
2019-05-11 02:15:00,4
2019-05-11 02:16:00,2
2019-05-11 02:17:00,5
2019-05-11 04:30:00,3
2019-05-11 04:32:00,1
2019-05-11 04:33:00,1
2019-05-11 04:34:00,2
2019-05-11 04:35:00,2
2019-05-17 17:17:00,1
2019-05-21 03:55:00,3
2019-05-21 03:56:00,4
2019-05-21 03:57:00,6
2019-05-21 03:58:00,2
2019-05-21 03:59:00,1
2019-07-04 03:41:00,1
2019-07-05 01:33:00,1
2019-07-05 01:39:00,1
2019-07-05 01:40:00,1
2019-07-05 01:54:00,1
2019-07-05 03:09:00,1
2019-07-05 03:10:00,1
2019-07-05 03:12:00,1
2019-07-05 03:14:00,2
2019-07-05 03:27:00,1
2019-07-07 00:22:00,1
2019-07-07 01:03:00,2
2019-07-07 01:12:00,1
2019-07-07 01:17:00,1
2019-07-07 01:20:00,1
2019-07-07 01:26:00,1
2019-07-07 01:37:00,3
2019-07-07 01:40:00,1
2019-07-07 01:50:00,1
2019-07-07 02:27:00,1
2019-07-07 03:16:00,1
2019-07-07 03:17:00,1
2019-07-07 03:21:00,1
2019-07-07 03:29:00,1
2019-07-07 14:22:00,1
2019-07-08 00:04:00,1
2019-07-08 14:26:00,1
2019-07-09 00:00:00,1
2019-07-09 00:20:00,4
2019-07-09 00:21:00,4
2019-07-09 00:22:00,3
2019-07-09 00:23:00,5
2019-07-09 00:24:00,4
2019-07-09 00:25:00,4
2019-07-09 00:26:00,4
2019-07-09 00:27:00,3
2019-07-09 00:28:00,3
2019-07-09 00:29:00,3
2019-07-09 00:30:00,4
2019-07-09 00:31:00,4
2019-07-09 00:32:00,3
2019-07-09 00:33:00,6
2019-07-09 00:34:00,4
2019-07-09 00:35:00,2
2019-07-09 00:36:00,4
2019-07-09 00:37:00,3
2019-07-09 00:38:00,3
2019-07-09 00:39:00,4
2019-07-09 00:40:00,4
2019-07-09 00:41:00,4
2019-07-09 00:42:00,3
2019-07-09 00:43:00,4
2019-07-09 00:44:00,3
2019-07-09 00:45:00,3
2019-07-09 00:46:00,3
2019-07-09 00:47:00,4
2019-07-09 00:48:00,4
2019-07-09 00:49:00,5
2019-07-09 00:50:00,5
2019-07-09 00:51:00,4
2019-07-09 00:52:00,8
2019-07-09 00:53:00,7
2019-07-09 00:54:00,7
2019-07-09 00:55:00,7
