3,"SELECT TOP # G.ra, G.dec, s.z, s.zerr FROM Galaxy as G JOIN SpecObjAll AS s ON g.specObjID = s.specObjID JOIN ZooSpec AS zns ON G.objid = zns.objid WHERE g.clean = #and (g.flags & (dbo.fPhotoFlags (#) )) = #"
2019-01-05 15:31:00,1
2019-01-05 15:32:00,2
