2,"SELECT G.ObjID, G.ra, G.dec, G.type, G.cModelMag_g, G.cModelMag_r into mydb.CIRs_# From galaxy G, mydb.CIRs x WHERE (G.flags & dbo.fPhotoFlags (#) ) = # and x.name = G.ObjID"
2019-12-04 03:18:00,1
2019-12-04 03:22:00,1
