1369,"select ra, dec from specObj where ra BETWEEN # and # AND dec BETWEEN # and #"
2019-01-03 11:55:00,1
2019-01-03 12:34:00,1
2019-01-03 12:47:00,2
2019-01-03 12:53:00,1
2019-01-03 13:10:00,1
2019-01-04 14:43:00,1
2019-01-04 14:44:00,1
2019-01-04 14:55:00,1
2019-01-04 19:04:00,1
2019-01-04 19:06:00,2
2019-01-04 19:07:00,1
2019-01-06 14:49:00,1
2019-01-07 13:55:00,1
2019-01-07 14:44:00,1
2019-01-07 14:46:00,1
2019-01-07 14:53:00,2
2019-01-08 14:44:00,1
2019-01-08 14:45:00,6
2019-01-10 00:26:00,1
2019-01-10 09:18:00,1
2019-01-10 09:19:00,1
2019-01-10 13:18:00,2
2019-01-11 07:12:00,1
2019-01-11 07:46:00,1
2019-01-12 18:11:00,1
2019-01-13 14:07:00,1
2019-01-13 14:43:00,1
2019-01-13 14:44:00,1
2019-01-16 13:14:00,1
2019-01-16 15:07:00,1
2019-01-16 15:08:00,2
2019-01-17 16:13:00,1
2019-01-17 16:15:00,5
2019-01-18 07:17:00,1
2019-01-18 16:47:00,1
2019-01-18 16:48:00,1
2019-01-18 19:26:00,1
2019-01-19 10:39:00,2
2019-01-19 12:18:00,1
2019-01-19 12:19:00,2
2019-01-19 12:20:00,3
2019-01-19 15:36:00,1
2019-01-19 17:21:00,1
2019-01-19 17:22:00,2
2019-01-19 17:23:00,3
2019-01-19 17:27:00,1
2019-01-20 15:00:00,1
2019-01-21 15:08:00,1
2019-01-21 15:11:00,1
2019-01-22 11:16:00,1
2019-01-27 15:48:00,1
2019-01-28 11:21:00,1
2019-01-28 17:19:00,1
2019-01-28 18:41:00,1
2019-01-29 05:12:00,2
2019-01-29 10:03:00,2
2019-01-30 02:27:00,1
2019-01-30 11:45:00,1
2019-01-30 15:09:00,4
2019-01-30 19:16:00,1
2019-01-30 20:36:00,1
2019-01-31 03:03:00,1
2019-01-31 03:07:00,3
2019-02-01 12:10:00,1
2019-02-02 09:21:00,2
2019-02-02 09:22:00,1
2019-02-02 09:23:00,1
2019-02-03 13:34:00,1
2019-02-03 13:35:00,1
2019-02-03 20:06:00,1
2019-02-03 20:07:00,1
2019-02-04 14:36:00,1
2019-02-04 14:38:00,2
2019-02-04 14:39:00,1
2019-02-04 18:20:00,1
2019-02-05 15:06:00,1
2019-02-05 15:07:00,1
2019-02-05 15:10:00,1
2019-02-05 17:05:00,1
2019-02-07 10:08:00,1
2019-02-07 10:38:00,1
2019-02-07 11:13:00,1
2019-02-07 11:14:00,1
2019-02-07 13:05:00,1
2019-02-07 19:07:00,1
2019-02-07 19:13:00,1
2019-02-08 02:50:00,1
2019-02-08 03:22:00,1
2019-02-08 08:27:00,1
2019-02-08 08:28:00,1
2019-02-08 17:02:00,1
2019-02-09 17:57:00,1
2019-02-09 17:59:00,1
2019-02-09 21:49:00,1
2019-02-09 21:55:00,1
2019-02-10 16:23:00,1
2019-02-10 16:25:00,1
2019-02-10 19:29:00,2
2019-02-10 19:33:00,2
2019-02-11 11:09:00,1
2019-02-11 14:06:00,1
2019-02-11 22:17:00,1
2019-02-11 22:18:00,1
2019-02-11 22:20:00,1
2019-02-12 05:49:00,2
2019-02-12 06:57:00,1
2019-02-12 11:10:00,1
2019-02-12 13:11:00,1
2019-02-12 14:01:00,1
2019-02-12 14:41:00,1
2019-02-12 22:10:00,1
2019-02-13 15:19:00,1
2019-02-13 15:20:00,2
2019-02-13 15:21:00,2
2019-02-13 15:22:00,3
2019-02-13 15:23:00,2
2019-02-13 15:24:00,2
2019-02-13 15:26:00,2
2019-02-13 15:28:00,1
2019-02-13 15:40:00,2
2019-02-13 15:41:00,2
2019-02-13 15:46:00,1
2019-02-13 15:47:00,1
2019-02-13 15:51:00,2
2019-02-14 17:10:00,1
2019-02-14 17:20:00,1
2019-02-14 18:00:00,1
2019-02-14 21:30:00,1
2019-02-16 06:31:00,1
2019-02-16 06:33:00,1
2019-02-17 16:35:00,1
2019-02-17 19:21:00,1
2019-02-18 15:56:00,1
2019-02-18 16:26:00,1
2019-02-18 17:40:00,1
2019-02-18 23:31:00,1
2019-02-18 23:34:00,1
2019-02-19 07:06:00,1
2019-02-19 15:42:00,1
2019-02-19 20:44:00,1
2019-02-19 21:13:00,1
2019-02-20 00:19:00,1
