33,"select specClass, count (z) as num_redshift from specObj where z BETWEEN # and # group by specClass"
2019-01-18 18:23:00,2
2019-01-20 18:19:00,2
2019-03-07 14:47:00,1
2019-03-21 22:12:00,1
2019-03-26 10:38:00,1
2019-03-28 09:03:00,1
2019-03-28 14:34:00,1
2019-04-04 01:42:00,1
2019-04-04 23:33:00,1
2019-05-02 17:40:00,1
2019-05-28 23:26:00,1
2019-06-03 20:28:00,1
2019-06-10 17:20:00,1
2019-06-12 17:29:00,1
2019-06-14 15:03:00,1
2019-06-14 15:11:00,1
2019-06-20 05:04:00,1
2019-06-20 05:06:00,2
2019-06-20 14:06:00,1
2019-06-28 22:05:00,1
2019-09-13 16:52:00,1
2019-09-13 16:53:00,1
2019-09-13 17:11:00,2
2019-09-13 17:13:00,1
2019-09-19 19:23:00,1
2019-10-15 06:23:00,1
2019-10-27 10:11:00,1
2019-10-28 14:42:00,1
2019-11-29 11:53:00,1
