13,"SELECT up_id, dbo.fGetNearestSpecObjIdEq (up_ra, up_dec, up_sep) as SpecobjId FROM #upload WHERE dbo.fGetNearestSpecObjIdEq (up_ra, up_dec, up_sep) IS NOT # SELECT TOP # s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.z, s.zErr, s.zWarning, s.class, p.run, p.rerun, p.camCol, p.field, p.obj, cast (str (p.ra, #, #) as float) as ra, cast (str (p.[dec], #, #) as float) as dec, p.r FROM ..SpecObj as s JOIN ..PhotoObj AS p ON s.bestObjID = p.objID JOIN #x AS x ON x.SpecobjID = s.SpecobjID JOIN #upload AS u ON u.up_id = x.up_id WHERE s.zWarning = # AND (p.type = # OR p.type = #) ORDER BY x.up_id"
2019-01-17 04:48:00,1
2019-01-17 04:50:00,1
2019-03-01 14:57:00,2
2019-04-16 02:55:00,1
2019-04-18 13:34:00,1
2019-04-18 13:38:00,1
2019-04-18 13:43:00,1
2019-04-18 13:49:00,1
2019-05-07 18:51:00,1
2019-11-26 12:02:00,1
2019-11-26 14:26:00,1
2019-12-20 19:51:00,1
