15204,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u, p.psfMag_g, p.psfMag_r, p.psfMag_i, p.psfMag_z, p.psfMagErr_u, p.psfMagErr_g, p.psfMagErr_r, p.psfMagErr_i, p.psfMagErr_z, p.petroR5#_u, p.petroR5#_g, p.petroR5#_r, p.petroR5#_i, p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u, p.modelMagErr_g, p.modelMagErr_r, p.modelMagErr_i, p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq (#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-06-28 01:14:00,1
2019-06-28 02:15:00,1
2019-06-28 03:56:00,1
2019-06-28 15:30:00,1
2019-07-03 17:28:00,1
2019-07-03 17:43:00,1
2019-07-03 19:43:00,1
2019-07-03 20:10:00,1
2019-07-03 20:19:00,1
2019-07-03 20:20:00,1
2019-07-03 20:21:00,1
2019-07-03 20:22:00,1
2019-07-03 20:23:00,1
2019-07-03 20:24:00,2
2019-07-03 20:25:00,1
2019-07-03 21:27:00,1
2019-07-03 21:28:00,1
2019-07-03 21:29:00,2
2019-07-03 21:30:00,1
2019-07-03 21:31:00,1
2019-07-03 21:32:00,1
2019-07-03 21:33:00,1
2019-07-03 21:34:00,1
2019-07-03 21:35:00,2
2019-07-03 21:36:00,1
2019-07-03 21:37:00,1
2019-07-03 21:38:00,1
2019-07-03 21:39:00,1
2019-07-03 21:40:00,2
2019-07-03 21:41:00,1
2019-07-03 21:42:00,1
2019-07-03 21:43:00,1
2019-07-03 21:44:00,1
2019-07-03 21:45:00,1
2019-07-03 22:40:00,1
2019-07-03 22:44:00,1
2019-07-03 22:52:00,3
2019-07-03 23:12:00,3
2019-07-03 23:14:00,1
2019-07-03 23:17:00,6
2019-07-03 23:21:00,1
2019-07-03 23:22:00,5
2019-07-03 23:23:00,1
2019-07-03 23:24:00,1
2019-07-03 23:25:00,1
2019-07-03 23:27:00,2
2019-07-03 23:28:00,1
2019-07-03 23:29:00,2
2019-07-03 23:30:00,1
2019-07-03 23:32:00,1
2019-07-03 23:33:00,1
2019-07-03 23:41:00,1
2019-07-03 23:47:00,1
2019-07-03 23:49:00,1
2019-07-03 23:50:00,1
2019-07-03 23:52:00,1
2019-07-03 23:53:00,1
2019-07-03 23:54:00,1
2019-07-03 23:56:00,1
2019-07-03 23:57:00,1
2019-07-03 23:58:00,1
2019-07-03 23:59:00,1
2019-07-04 00:00:00,2
2019-07-04 00:01:00,2
2019-07-04 00:02:00,1
2019-07-04 00:03:00,2
2019-07-04 00:05:00,2
2019-07-04 00:06:00,2
2019-07-04 00:07:00,1
2019-07-04 00:08:00,2
2019-07-04 00:09:00,1
2019-07-04 00:10:00,2
2019-07-04 00:11:00,2
2019-07-04 00:12:00,1
2019-07-04 00:13:00,2
2019-07-04 00:14:00,2
2019-07-04 00:15:00,1
2019-07-04 00:16:00,2
2019-07-04 00:17:00,1
2019-07-04 00:18:00,2
2019-07-04 00:19:00,1
2019-07-04 00:20:00,1
2019-07-04 00:21:00,1
2019-07-04 00:22:00,1
2019-07-04 00:23:00,12
2019-07-04 00:24:00,1
2019-07-04 00:26:00,11
2019-07-04 00:29:00,2
2019-07-04 00:30:00,10
2019-07-04 00:33:00,2
2019-07-04 00:34:00,7
2019-07-04 00:35:00,3
2019-07-04 00:37:00,3
2019-07-04 00:38:00,4
2019-07-04 00:39:00,5
2019-07-04 00:41:00,1
2019-07-04 00:42:00,4
2019-07-04 00:43:00,8
2019-07-04 00:44:00,2
2019-07-04 00:46:00,2
2019-07-04 00:47:00,2
2019-07-04 00:48:00,4
2019-07-04 00:49:00,3
2019-07-04 00:50:00,1
2019-07-04 00:51:00,3
2019-07-04 00:52:00,1
2019-07-04 00:53:00,1
2019-07-04 00:54:00,3
2019-07-04 00:55:00,3
2019-07-04 00:56:00,4
2019-07-04 00:57:00,3
2019-07-04 00:59:00,3
2019-07-04 01:01:00,1
2019-07-04 01:02:00,1
2019-07-04 01:03:00,3
2019-07-04 01:04:00,1
2019-07-04 01:05:00,4
2019-07-04 01:06:00,3
2019-07-04 01:07:00,3
2019-07-04 01:08:00,1
2019-07-04 01:09:00,2
2019-07-04 01:10:00,1
2019-07-04 01:11:00,3
2019-07-04 01:12:00,6
2019-07-04 01:13:00,2
2019-07-04 01:14:00,3
2019-07-04 01:15:00,2
2019-07-04 01:17:00,2
2019-07-04 01:18:00,3
2019-07-04 01:19:00,5
2019-07-04 01:20:00,2
2019-07-04 01:21:00,4
2019-07-04 01:22:00,1
2019-07-04 01:24:00,6
2019-07-04 01:25:00,4
2019-07-04 01:26:00,1
2019-07-04 01:27:00,2
2019-07-04 01:28:00,4
2019-07-04 01:29:00,1
2019-07-04 01:31:00,4
2019-07-04 01:32:00,1
2019-07-04 01:33:00,1
2019-07-04 01:34:00,1
2019-07-04 01:37:00,1
2019-07-04 01:38:00,2
2019-07-04 01:41:00,9
2019-07-04 01:42:00,1
2019-07-04 01:43:00,1
2019-07-04 01:44:00,7
2019-07-04 01:45:00,6
2019-07-04 01:46:00,2
2019-07-04 01:47:00,1
2019-07-04 01:51:00,8
2019-07-04 01:52:00,2
2019-07-04 01:53:00,3
2019-07-04 01:54:00,3
2019-07-04 01:55:00,10
2019-07-04 01:57:00,2
2019-07-04 01:58:00,4
2019-07-04 02:00:00,1
2019-07-04 02:04:00,6
2019-07-04 02:05:00,1
2019-07-04 02:06:00,1
2019-07-04 02:07:00,4
2019-07-04 02:08:00,7
2019-07-04 02:09:00,1
2019-07-04 02:10:00,1
2019-07-04 02:11:00,2
2019-07-04 02:12:00,1
2019-07-04 02:13:00,1
2019-07-04 02:14:00,9
2019-07-04 02:16:00,1
2019-07-04 02:17:00,1
2019-07-04 02:18:00,2
2019-07-04 02:20:00,4
2019-07-04 02:21:00,3
2019-07-04 02:22:00,1
2019-07-04 02:24:00,1
2019-07-04 02:25:00,2
2019-07-04 02:26:00,1
2019-07-04 02:27:00,3
2019-07-04 02:28:00,2
2019-07-04 02:29:00,2
2019-07-04 02:31:00,7
2019-07-04 02:32:00,21
2019-07-04 02:35:00,1
2019-07-04 02:36:00,3
2019-07-04 02:37:00,4
2019-07-04 02:41:00,1
2019-07-04 02:42:00,1
2019-07-04 02:46:00,1
2019-07-04 02:49:00,2
2019-07-04 02:50:00,3
2019-07-04 02:52:00,1
2019-07-04 02:54:00,1
2019-07-04 02:57:00,1
2019-07-04 02:58:00,1
2019-07-04 02:59:00,1
2019-07-04 03:03:00,1
2019-07-04 03:04:00,3
2019-07-04 03:05:00,1
2019-07-04 03:07:00,1
2019-07-04 03:09:00,1
2019-07-04 03:10:00,2
2019-07-04 03:11:00,1
2019-07-04 03:13:00,1
2019-07-04 03:14:00,1
2019-07-04 03:17:00,1
2019-07-04 03:19:00,1
2019-07-04 03:25:00,2
2019-07-04 03:26:00,1
2019-07-04 03:27:00,2
2019-07-04 03:28:00,2
2019-07-04 03:29:00,2
2019-07-04 03:30:00,2
2019-07-04 03:31:00,1
2019-07-04 03:32:00,1
2019-07-04 03:33:00,1
2019-07-04 03:34:00,1
2019-07-04 03:35:00,6
2019-07-04 03:36:00,6
2019-07-04 03:37:00,9
2019-07-04 03:38:00,12
2019-07-04 03:39:00,7
2019-07-04 03:40:00,11
2019-07-04 03:41:00,5
2019-07-04 03:42:00,5
2019-07-04 03:43:00,6
2019-07-04 03:44:00,5
2019-07-05 22:00:00,1
2019-07-05 22:37:00,1
2019-07-06 00:36:00,1
2019-07-06 14:37:00,1
2019-07-06 15:52:00,1
2019-07-06 15:53:00,2
2019-07-06 16:01:00,2
2019-07-06 16:02:00,4
2019-07-06 16:03:00,1
2019-07-06 16:19:00,4
2019-07-06 16:20:00,5
2019-07-06 16:21:00,1
2019-07-06 16:28:00,3
2019-07-06 16:29:00,4
2019-07-06 16:30:00,2
2019-07-06 17:15:00,1
2019-07-06 17:16:00,4
2019-07-06 17:17:00,3
2019-07-06 17:18:00,4
2019-07-06 17:19:00,4
2019-07-06 17:20:00,4
2019-07-06 17:21:00,3
2019-07-06 19:39:00,1
2019-07-06 20:02:00,2
2019-07-06 20:03:00,1
2019-07-06 20:47:00,1
2019-07-06 23:26:00,1
2019-07-08 20:28:00,1
2019-07-09 00:36:00,1
2019-07-10 00:45:00,1
2019-07-10 03:49:00,1
2019-07-10 03:52:00,1
2019-07-10 04:01:00,1
2019-07-10 04:03:00,1
2019-07-10 04:05:00,1
2019-07-10 04:10:00,1
2019-07-10 04:21:00,1
2019-07-10 04:25:00,1
2019-07-10 18:13:00,1
2019-07-10 18:16:00,1
2019-07-10 18:40:00,1
2019-07-10 19:01:00,1
2019-07-10 19:04:00,1
2019-07-10 19:22:00,1
2019-07-10 19:27:00,1
2019-07-10 19:28:00,1
2019-07-10 19:29:00,4
2019-07-10 19:30:00,3
2019-07-10 19:31:00,2
2019-07-10 19:59:00,1
2019-07-10 20:25:00,2
2019-07-10 20:26:00,1
2019-07-10 20:27:00,2
2019-07-10 20:28:00,3
2019-07-10 20:29:00,3
2019-07-10 20:30:00,3
2019-07-10 20:31:00,4
2019-07-10 20:32:00,3
2019-07-10 20:33:00,3
2019-07-10 21:09:00,1
2019-07-10 21:33:00,2
2019-07-10 21:35:00,1
2019-07-10 21:36:00,3
2019-07-10 21:37:00,2
2019-07-10 21:54:00,1
2019-07-10 21:55:00,3
2019-07-10 21:56:00,2
2019-07-10 21:57:00,4
2019-07-10 21:58:00,3
2019-07-10 21:59:00,4
2019-07-10 22:00:00,2
2019-07-10 22:01:00,4
2019-07-10 22:02:00,4
2019-07-10 22:03:00,3
2019-07-10 22:04:00,5
2019-07-10 22:05:00,3
2019-07-10 22:06:00,3
2019-07-10 22:07:00,3
2019-07-10 22:08:00,3
2019-07-10 22:09:00,3
2019-07-10 22:10:00,2
2019-07-10 22:11:00,3
2019-07-10 22:12:00,3
2019-07-10 22:13:00,2
2019-07-10 22:14:00,1
2019-07-10 22:15:00,2
2019-07-10 22:16:00,1
2019-07-10 22:17:00,2
2019-07-10 22:18:00,1
2019-07-10 22:19:00,3
2019-07-10 22:20:00,2
2019-07-10 22:21:00,1
2019-07-10 22:22:00,2
2019-07-10 22:23:00,1
2019-07-10 22:24:00,2
2019-07-10 22:25:00,3
2019-07-10 22:26:00,3
2019-07-10 22:27:00,3
2019-07-10 22:28:00,1
2019-07-10 22:29:00,2
2019-07-11 01:21:00,1
2019-07-11 05:33:00,1
2019-07-11 05:34:00,1
2019-07-11 05:37:00,2
2019-07-11 05:38:00,3
2019-07-11 05:39:00,2
2019-07-11 05:40:00,3
2019-07-11 05:41:00,1
2019-07-11 05:42:00,1
2019-07-11 05:43:00,4
2019-07-11 05:44:00,4
2019-07-11 05:45:00,1
2019-07-11 05:51:00,1
2019-07-11 05:54:00,3
2019-07-11 05:55:00,2
2019-07-11 05:56:00,3
2019-07-11 05:57:00,1
2019-07-11 05:58:00,3
2019-07-11 05:59:00,2
2019-07-11 06:00:00,2
2019-07-11 06:01:00,1
2019-07-11 06:02:00,2
2019-07-11 06:03:00,3
2019-07-11 06:04:00,2
2019-07-11 06:07:00,1
2019-07-11 06:09:00,3
2019-07-11 06:10:00,2
2019-07-11 06:11:00,4
2019-07-11 06:12:00,2
2019-07-11 06:13:00,1
2019-07-11 13:14:00,4
2019-07-11 13:15:00,4
2019-07-11 13:16:00,4
2019-07-11 13:17:00,3
2019-07-11 13:18:00,5
2019-07-11 13:19:00,4
2019-07-11 13:20:00,5
2019-07-11 13:21:00,4
2019-07-11 13:22:00,3
2019-07-11 13:23:00,2
2019-07-11 13:24:00,1
2019-07-11 13:25:00,1
2019-07-11 13:26:00,2
2019-07-11 13:27:00,4
2019-07-11 13:28:00,4
2019-07-11 13:29:00,4
2019-07-11 13:30:00,4
2019-07-11 13:31:00,4
2019-07-11 13:32:00,4
2019-07-11 13:33:00,3
2019-07-11 13:40:00,2
2019-07-11 13:47:00,1
2019-07-11 13:55:00,1
2019-07-11 13:56:00,2
2019-07-11 13:57:00,2
2019-07-11 13:58:00,2
2019-07-11 13:59:00,2
2019-07-11 14:00:00,3
2019-07-11 14:01:00,2
