4,"select top # p.u, p.g, p.r, p.i, p.z, s.z as redshift from galaxy p, specobj s where p.objid = s.bestobjid"
2019-03-31 11:13:00,2
2019-03-31 11:14:00,1
2019-03-31 11:27:00,1
