2,"SELECT top # specObjID, z, ra, dec, class, subClass, cModelMag_u, cModelMag_g, cModelMag_r, cModelMag_i, cModelMag_z, cModelMagErr_u, cModelMagErr_g, cModelMagErr_r, cModelMagErr_i, cModelMagErr_z into mydb.MyTable_# from SpecPhoto WHERE zWarning = #"
2019-05-27 09:18:00,1
2019-05-27 09:19:00,1
